154;Il delitto di falsa dichiarazione ad un Pubblico Ufficiale sulla propria identità è aggravato, in conformità alle previsioni dell'art. 495 c.p.:;esclusivamente se è resa da un imputato all’Autorità Giudiziaria.;se è resa da un imputato all’Autorità Giudiziaria o da una persona sottoposta ad indagini alla stessa Autorità o alla Polizia Giudiziaria delegate alle indagini.;se è resa, esclusivamente all’Autorità Giudiziaria, da un imputato o da una persona sottoposta ad indagini.;se è resa esclusivamente da un imputato all’Autorità Giudiziaria o alla Polizia Giudiziaria delegate alle indagini.
155;I primi tre articoli del Codice Penale stabiliscono i principi di:;legalità, irretroattività e obbligatorietà della legge penale.;legalità, statualità della legge penale e responsabilità personale.;statualità, obbligatorietà e territorialità della legge penale.;legalità, statualità, irretroattività ed obbligatorietà della legge penale.
156;Il diritto di querela per i minori che hanno compiuto i 14 anni è esercitato:;dal minore stesso o, in sua vece, dal genitore o dal tutore.;dal genitore, dal tutore o, solo riguardo a reati in materia sessuale, dal minore stesso.;dal genitore, dal tutore o, solo riguardo taluni reati indicati dalla legge, dal minore stesso.;dal genitore, da un prossimo congiunto o dal tutore.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
157;Il reato  di interruzione di pubblico servizio, secondo l'art. 340 c.p., si perfeziona quando:;quando, fuori  dai casi provveduti da particolari disposizioni di legge, sia cagionata un’interruzione o una turbativa alla regolarità di un ufficio o servizio pubblico o di un servizio di pubblica necessità.;l’interruzione abbia esclusivamente una durata superiore alle 24 ore.;viene interrotto soltanto il trasporto pubblico di linea.;in ogni caso di manifestazione non autorizzata sulla pubblica via.
158;"Il principio del ""favor rei"" di cui all’art. 2 c.p. si applica:";nell'ipotesi che la vecchia norma fosse più favorevole al reo  che nell’ipotesi che la nuova norma sia più favorevole al reo,  salvo, in ogni caso, che sia stata pronunciata sentenza irrevocabile.;solo se la nuova  norma  è più favorevole al reo rispetto alla precedente.;solo se la vecchia norma era più favorevole al reo rispetto alla nuova.;solo se la nuova  norma  è più favorevole al reo rispetto alla precedente, salvo che sia stata pronunciata sentenza irrevocabile.
159;Nel verificarsi di un reato,  il caso fortuito previsto dall'art. 45 c.p. rappresenta:;un accadimento eccezionale e non prevedibile tale  da escludere che l'evento sia addebitabile al soggetto attivo.;una causa di esclusione dell’imputabilità.;una circostanza attenuante generica.;una causa personale di estinzione dalla pena.
160;Quale limite massimo, secondo il codice penale, hanno le pene pecuniarie proporzionali?;Non hanno nessun limite massimo.;Non possono superare il doppio delle pene pecuniarie fisse.;Non possono superare di oltre un terzo le pene pecuniarie fisse.;Non possono superare il triplo delle pene pecuniarie fisse.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
161;La sospensione condizionale della pena può essere concessa, in conformità all'art. 164 c.p., a chi ha già riportato altra condanna?;No, se la precedente condanna consiste in una pena detentiva per delitto, anche se è intervenuta la riabilitazione.;Si, a discrezione del Giudice, tenuto  conto della pericolosità del soggetto.;Si, ma solo se la precedente condanna ha comportato una qualsiasi pena detentiva inferiore a due anni.;No, se la precedente condanna consiste in una pena detentiva per delitto, salvo che sia intervenuta la riabilitazione.
162;"Le ""circostanze ad effetto speciale"" previste dall'art. 63 c.p. in materia penale sono:";quelle che prevedono un aumento o una diminuzione della pena superiore ad un terzo rispetto a quella prevista per  il reato base.;quelle che prevedono un aumento o una diminuzione di pena fino al triplo rispetto a quella prevista per il reato  base.;quelle che prevedono un aumento o una diminuzione di pena non superiore ad un terzo.;quelle che comportano automaticamente l’applicazione delle pene accessorie.
163;In caso di concorso tra circostanze aggravanti ed attenuanti, a norma  dell'art. 69 c.p. il Giudice, ai fini del calcolo della pena da infliggere:;procede ad un giudizio di comparazione con l’applicazione delle sole circostanze ritenute prevalenti, salvo le eccezioni previste dalla legge.;applica le sole aggravanti, salvo le eccezioni previste per talune particolari circostanze attenuanti;le applica discrezionalmente.;applica contemporaneamente tutte le circostanze.
164;Possono validamente invocare l’uso legittimo delle armi come causa di esclusione del reato,  ai sensi dell'art. 53 c.p.:;I Pubblici Ufficiali dotati istituzionalmente di armi od altri mezzi di coazione fisica ed i soggetti che, su loro  richiesta, prestino assistenza.;tutti i Pubblici Ufficiali e gli incaricati di pubblico servizio dotati istituzionalmente di armi od altri mezzi di coazione fisica ed i soggetti che,  su loro richiesta, prestino assistenza.;solo gli Ufficiali e gli Agenti di Polizia Giudiziaria.;tutti coloro che hanno utilizzato l’arma per legittima difesa.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
165;Agli effetti della dichiarazione di professionalità nel reato,  prevista dall'art. 106 c.p., si tiene conto delle condanne per le quali è intervenuta una causa di estinzione della pena?;Sì, tranne se la causa di estinzione estingue anche gli effetti penali.;Sì, in ogni caso.;No, salvo che la legge disponga altrimenti.;Sì, ma solo se la recidiva riguarda particolari reati espressamente indicati dalla legge.
166;È causa di estinzione della pena, nell'ambito delle norme  del codice penale:;la liberazione condizionale.;la remissione di querela.;l’oblazione.;la sospensione condizionale della pena.
167;La riabilitazione del condannato è revocata di diritto, ai sensi dell'art. 180 c.p., se la persona riabilitata:;commette entro 7 anni un delitto non colposo per  il quale sia inflitta la pena della reclusione non inferiore a 2 anni.;commette entro 3 anni un delitto non colposo per il quale sia inflitta la pena della reclusione non inferiore a 5 anni.;commette entro 5 anni un qualsiasi delitto non colposo.;commette entro 5 anni un qualsiasi delitto colposo.
168;Sulla base delle norme  del codice penale, non è punibile il pubblico ufficiale che,  al fine di adempiere un dovere del proprio ufficio, faccia uso delle armi quando vi è costretto dalla necessità di impedire la consumazione anche del delitto di:;sommersione.;violenza carnale.;estorsione aggravata.;spaccio di sostanze stupefacenti.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
169;La liberazione condizionale, secondo l'art. 177 c.p., può essere revocata:;se la persona liberata commette un delitto o una contravvenzione della stessa indole o trasgredisce agli obblighi derivanti dalla libertà vigilata.;solo se la persona liberata commette un delitto o una contravvenzione della stessa indole.;se la persona commette un qualsiasi altro reato  punito con pena detentiva.;se la persona commette un qualsiasi altro reato.
170;Nel caso di concorso di reati, in base al codice penale per l’estinzione della pena si ha riguardo:;a ciascuno di essi, anche se le pene sono state inflitte con la medesima sentenza.;esclusivamente al reato più grave.;a ciascuno di essi, tranne se le pene sono state inflitte con la medesima sentenza.;esclusivamente al reato  più grave,  salvo che la legge disponga altrimenti.
171;Quando, per un fatto commesso all’estero, si rinnova il giudizio nello Stato,  secondo le disposizioni del codice penale, è applicabile la legge italiana anche riguardo alle misure di sicurezza:;previo accertamento che la persona sia socialmente pericolosa.;esclusivamente coercitive.;solo se si procede per taluni reati indicati dalla legge.;tranne quelle detentive.
172;La misura di sicurezza dell’assegnazione ad una casa di cura e di custodia può essere sostituita, in virtù delle norme  del codice penale, dal Giudice con l’applicazione della libertà vigilata:;quando la durata minima dell’assegnazione ad una casa di cura e di custodia è stabilita in sei mesi.;solo quando la pena da applicarsi è solo pecuniaria e non detentiva.;quando la durata minima dell’assegnazione ad una casa di cura e di custodia è stabilita in un anno.;quando la durata minima dell’assegnazione ad una casa di cura e di custodia è stabilita in 3 anni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
173;In conformità alle previsioni del codice penale, è circostanza attenuante specifica dei delitti di concussione dei pubblici ufficiali contro la P.A.:;se il fatto è di particolare tenuità.;se il fatto è commesso occasionalmente.;se il fatto è commesso per legittima difesa.;se il fatto è commesso dall’incaricato di pubblico servizio.
174;La libertà vigilata può essere ordinata, in base al codice penale, fra l’altro:;quando il Codice Penale autorizza una misura di sicurezza per  un fatto non previsto dalla legge come reato.;in qualsiasi caso di condanna per delitto con reclusione non inferiore ai sei mesi.;nel caso di condanna alla reclusione per un tempo non inferiore a tre anni.;nel caso di condanna alla reclusione per un tempo non inferiore a cinque anni.
175;È sempre ordinata la confisca delle cose il cui uso, porto, detenzione o alienazione costituisce reato:;anche se non è stata pronunciata condanna.;ma solo nei casi in cui è stata pronunciata condanna e le cose appartengono a persona estranea al reato.;tranne, in ogni caso, se le cose appartengono a persona estranea al reato.;ma solo nei casi in cui è stata pronunciata condanna e se le cose non appartengono a persona estranea al reato
176;A quale pena soggiace il soggetto attivo di un reato  qualora, nell’ipotesi dell’aberratio ictus ex art. 82 c.p., sia arrecata offesa, oltre che alla persona diversa, anche a quella alla quale l'offesa era diretta?;Alla pena stabilita per  il reato più grave, aumentata fino alla metà.;Alla somma delle pene stabilite per entrambi i delitti.;Alla pena stabilita per il reato  più grave,  aumentata fino al triplo.;Alla pena stabilita per il reato  più grave,  aumentata non meno  della metà.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
177;In base alle disposizioni del codice penale, costituisce un'aggravante specifica del delitto di omessa denuncia di reato  da parte  del Pubblico Ufficiale:;se l'omessa denuncia riguarda un delitto contro la personalità dello Stato.;se l'omessa denuncia riguarda delitti perseguibili d'ufficio.;se l'omessa denuncia è motivata dall'intento di favorire il colpevole.;se l'omessa denuncia riguarda i delitti contro l'amministrazione della giustizia.
178;Il pagamento della somma corrispondente all’oblazione nelle contravvenzioni penali punite con pene alternative può avvenire, ai sensi dell'art. 162 c.p., fino a prima dell’apertura del dibattimento?;Sì.;Sì, ma se avviene dopo l’udienza di rinvio a giudizio, è necessario il consenso del Pubblico Ministero.;Sì, ma se avviene dopo l’esercizio dell’azione penale da parte  del Pubblico Ministero, è necessario il consenso di questi.;Sì, ma se avviene dopo l’udienza di rinvio a giudizio, è necessario il consenso del Giudice.
179;Quando la punibilità di un reato commesso all’estero, a norma dell'art. 128 c.p., dipende dalla presenza del colpevole nel territorio dello Stato,  la richiesta non può essere più proposta decorsi:;3 anni dal giorno in cui il colpevole si trova nel territorio dello Stato.;3 mesi dal giorno in cui il colpevole si trova nel territorio dello Stato.;3 anni dal giorno in cui il colpevole si trova nel territorio dello Stato  o 3 mesi dal giorno in cui l’Autorità ha avuto notizia del fatto costituente reato.;12 mesi dal giorno in cui il colpevole si trova nel territorio dello Stato.
180;Qualora la misura di sicurezza del ricovero dei minori in un riformatorio giudiziario, in conformità all'art. 223 c.p., debba essere applicata dopo che il minore abbia compiuto gli anni 18:;ad essa è sostituita la libertà vigilata, salvo che il Giudice ritenga di ordinare l’assegnazione ad una colonia agricola o ad una casa di lavoro.;ad essa è sostituita, in ogni caso, la libertà vigilata.;il Giudice può sostituirla con qualsiasi altra misura di sicurezza detentiva.;può essere comunque applicata fino a quando il minore non compie i 21 anni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
181;In quale caso, visto l'art. 176 c.p., il condannato a pena detentiva può essere ammesso alla liberazione condizionale solo dopo aver scontato almeno quattro anni di pena?;Quando il condannato sia recidivo e la recidiva sia aggravata.;Solo quando il condannato sia recidivo o delinquente abituale, professionale o per tendenza.;Solo quando la pena inflittagli sia superiore a 10 anni di reclusione.;Solo quando il condannato sia delinquente abituale, professionale o per tendenza.
182;Quando un delitto è punibile a richiesta dell’Autorità secondo le norme  del codice penale, la richiesta:;è irrevocabile.;è irrevocabile solo per taluni delitti espressamente indicati dalla legge.;è irrevocabile, salvo che la legge disponga altrimenti.;è revocabile, salvo che la legge disponga altrimenti.
183;La durata della misura di sicurezza della cauzione di buona condotta, in virtù dell'art. 237 c.p., non può essere superiore a:;cinque anni.;tre anni.;due anni.;un anno.
184;Per i crediti relativi al pagamento delle spese del procedimento, in conformità alle previsioni dell'art. 193 c.p., gli atti a titolo oneroso eccedenti la semplice amministrazione ovvero la gestione dell'ordinario commercio compiuti dal colpevole dopo il reato e di cui si presume la frode:;sono revocabili se si prova la malafede dell'altro contraente.;sono pienamente legittimi.;sono irrevocabili.;sono revocabili in ogni caso.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
185;L’usurpazione di titolo od onori costituisce, in virtù di quanto previsto dall'art. 498 c.p.:;Illecito amministrativo.;delitto.;contravvenzione penale.;a seconda dei casi, può costituire reato  o illecito amministrativo.
186;In base alle disposizioni del codice penale, l’ordine di non menzione della condanna nel certificato del casellario giudiziario può essere revocato:;solo se il condannato commette successivamente un delitto.;solo se il condannato commette un delitto nei 5 anni successivi.;solo se il condannato commette un reato  nei 5 anni successivi.;solo se il condannato riporta, nei 5 anni successivi, una nuova condanna a qualsiasi pena detentiva.
187;Quali, tra le seguenti previste dal codice penale, non è causa di estinzione del reato?;La riabilitazione.;La remissione di querela.;L’oblazione.;Il perdono giudiziale.
188;La rinuncia alla facoltà di esercitare il diritto di querela fatta dal genitore, priva il minore del diritto di proporre  personalmente querela?;No, se il minore ha compiuto gli anni quattordici.;Si, tranne se si tratti di reati in materia sessuale.;No, in ogni caso.;No, se il minore ha compiuto gli anni sedici.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
189;Il Pubblico Ufficiale che riceve una retribuzione non dovuta  per un atto d’ufficio da lui già compiuto commette, secondo il codice penale, il reato  di:;corruzione per  un atto contrario ai doveri d’ufficio.;rifiuto di atti d'ufficio.;malversazione.;concussione.
190;Quando ritenga che,  per le condizioni economiche del reo, la misura massima della pena pecuniaria sia inefficace, conformemente alle norme  del codice penale il Giudice può aumentarla:;sino al triplo.;sino ad un terzo.;sino al doppio.;sino alla metà.
191;Il pubblico impiegato, il quale continua ad esercitare le sue attribuzioni dopo il provvedimento che le sospende, commette il delitto ex art. 347 c.p.:;solo se ha ricevuto partecipazione del provvedimento che sospende o fa cessare le sue attribuzioni.;in ogni caso perché riveste la qualifica di pubblico ufficiale.;in ogni caso perché ha comunque rivestito la qualifica di pubblico ufficiale.;in ogni caso poiché l'evento è iniziato nel momento in cui esercitava le sue attribuzioni quali P.U.
192;La turbata libertà degli incanti prevista e punita dal codice penale:;è un delitto dei privati contro la Pubblica Amministrazione.;è un illecito amministrativo, salvo che la legge disponga altrimenti.;è un delitto contro l’attività giudiziaria.;è un delitto contro la fede pubblica.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
193;L’uso abusivo di sigilli e strumenti veri, previsto dall'art. 471 c.p.:;costituisce delitto.;costituisce illecito amministrativo.;costituisce contravvenzione penale.;costituisce contravvenzione penale, salvo che la legge disponga altrimenti.
194;Chiunque, per disprezzo verso l’Autorità, in base a quanto statuito dal codice penale, rimuove o rende inservibili scritti affissi o esposti al pubblico per ordine dell’Autorità è punito con:;una sanzione amministrativa pecuniaria.;una multa.;un’ammenda.;l'arresto.
195;Chiunque violi i sigilli per disposizione della legge o per ordine dell'autorità, apposti al fine di assicurare la conservazione di una cosa, è punito, secondo il codice penale, con:;la reclusione e la multa.;non è punibile.;la sola multa.;la sola ammenda.
196;La formulazione della concussione, di cui all'art. 317 c.p., contempla, sotto l'aspetto della condotta:;solo la costrizione.;solo la induzione.;sia la costrizione che la induzione.;è stato depenalizzato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
197;La frode nelle pubbliche forniture, sulla base di quanto previsto dall'art. 356 c.p.:;è un delitto dei privati contro la Pubblica Amministrazione.;a seconda del tipo di fornitura, può costituire reato  o illecito amministrativo.;è un illecito amministrativo, salvo che la legge disponga altrimenti.;è una contravvenzione penale.
198;In base al codice penale, il delitto di interesse privato in atti d’ufficio:;è stato abrogato.;è un delitto proprio dei soli Pubblici Ufficiali.;è un delitto proprio dei Pubblici Ufficiali e degli incaricati di pubblico servizio che rivestano la qualità di pubblico impiegato.;non ammette il tentativo.
199;A norma  del Codice Penale, quale, tra le seguenti ipotesi di falsità commesse dal Pubblico Ufficiale, è punita con una maggiore pena edittale?;Falsità materiale commessa in atti pubblici.;Falsità materiale in certificati o autorizzazioni amministrative;Falsità materiale in copie autentiche di atti pubblici.;Falsità ideologica in certificati amministrativi.
200;L’intossicazione da sostanze stupefacenti, ai sensi dell'art. 92 c.p., se volontaria ma non preordinata a commettere il reato:;non esclude né diminuisce l’imputabilità.;diminuisce l’imputabilità se è tale da scemare grandemente, senza escluderla, la capacità d’intendere o di volere.;aggrava comunque la pena.;esclude in ogni caso l’imputabilità.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
201;Colui che,  nell’esercizio di un’attività commerciale, in conformità all'art. 472 c.p., detiene pesi con l’impronta legale contraffatta:;commette un delitto.;commette una contravvenzione penale.;commette un illecito amministrativo.;commette un illecito amministrativo, salvo che la legge disponga altrimenti.
202;Agli effetti del codice penale, è considerato ubriaco abituale:;chi è dedito all’uso di bevande alcoliche ed  in stato frequente di ubriachezza.;colui che si trova in stato di cronica intossicazione da alcool.;colui dichiarato tale a seguito di perizia disposta dal giudice.;colui che,  essendo stato già condannato per il reato  di ubriachezza, commette un nuovo reato  sotto l’effetto dell’alcool.
203;Chiunque si procura con frode un certificato del casellario giudiziale, ai sensi dell'art. 497 c.p.:;commette un delitto.;commette una contravvenzione penale.;commette un illecito amministrativo.;Commette un illecito amministrativo, salvo che la legge disponga altrimenti.
204;La violenza o minaccia a pubblico ufficiale è prevista dal codice penale:;tra i delitti contro la pubblica amministrazione, e in particolare tra i delitti dei privati contro la pubblica amministrazione.;tra i delitti contro la pubblica amministrazione, e in particolare tra i delitti dei pubblici ufficiali contro la pubblica amministrazione.;tra le contravvenzioni concernenti l'attività sociale della pubblica amministrazione.;tra le contravvenzioni di polizia.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
205;La pena accessoria della pubblicazione della sentenza di condanna, in conformità alla disposizione dell'art. 36 c.p., comporta l'affissione della stessa:;nel comune ove  la sentenza è stata pronunciata, in quello ove  il delitto fu commesso ed in quello ove  il condannato aveva l'ultima residenza.;nel comune ove la sentenza è stata pronunciata, in quello ove il delitto fu commesso, in quello ove il condannato aveva l'ultima residenza ed in quello in cui risiede la parte  offesa del reato.;esclusivamente nel comune ove la sentenza è stata pronunciata ed in quello ove il delitto fu commesso.;Esclusivamente nel comune ove la sentenza è stata pronunciata ed in quello in cui risiede la parte  offesa del reato.
206;La condanna a pena condizionalmente sospesa, ai sensi dell'art. 166 c.p.:;non può costituire, di per sé sola motivo d’impedimento all’accesso a posti di lavoro pubblici o privati, tranne i casi specificatamente previsti dalla legge.;non può costituire, di per sé sola motivo d’impedimento all’accesso ai soli posti di lavoro privato.;costituisce motivo d’impedimento all’accesso a posti di lavoro pubblici o privati, tranne i casi specificatamente previsti dalla legge.;costituisce motivo d’impedimento all’accesso a posti di lavoro pubblici, tranne i casi specificatamente previsti dalla legge.
207;Quando ricorre una circostanza attenuante e non è dalla legge determinata la diminuzione di pena, dall'art. 65 c.p. è previsto che alla pena dell'ergastolo è sostituita la reclusione:;da venti a ventiquattro anni.;da venti a trenta  anni.;da quindici a trenta  anni.;da venti a trenta  anni.
208;Nel caso di errore  sulla persona offesa da un reato,  le circostanze attenuanti, erroneamente supposte, che riguardano le condizioni o le qualità della persona offesa, sono valutate in base all'art. 60 c.p.:;a favore dell'agente, tranne se si tratta di circostanze che riguardano l'età o altre condizioni o qualità fisiche o psichiche della persona offesa.;come  non sussistenti se si tratta di circostanze che riguardano le condizioni o qualità della persona offesa, o i rapporti tra offeso e colpevole.;a favore dell'agente, in ogni caso.;a favore dell'agente, ma solo se si tratta di delitti colposi.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
209;Per il reato  di induzione indebita previsto dall’art. 319 quater c.p., rispetto al reato  di concussione di cui all’art. 317 c.p., è prevista:;una sanzione più lieve.;una sanzione più grave.;la medesima sanzione.;una circostanza aggravante in quanto l’art. 319 quater c.p. è circostanza aggravante del reato  di cui all’art. 317 c.p.
210;La prescrizione prevista dalle norme  del codice penale estingue la contravvenzione penale decorso:;il tempo corrispondente al massimo della pena edittale stabilita dalla legge per  quella contravvenzione e, comunque, decorso un tempo non inferiore a 4 anni.;il tempo  corrispondente al massimo della pena edittale stabilita dalla legge per quella contravvenzione e, comunque, decorso un tempo  non inferiore a 6 anni.;il tempo  corrispondente al doppio del limite massimo della pena edittale stabilita dalla legge per quella contravvenzione e, comunque, decorso un tempo  non inferiore a 6 anni.;il tempo  corrispondente al doppio del limite massimo della pena edittale stabilita dalla legge per quella contravvenzione e, comunque, decorso un tempo  non inferiore a 4 anni.
211;L'applicazione di misure di sicurezza allo straniero impedisce la sua espulsione dal territorio dello Stato,  a norma  del codice penale?;No.;Si.;Si, salvo le eccezioni previste dalla legge.;Dipende dalla tipologia di misure di sicurezza applicate.
212;In base all'art. 147 c.p., l'esecuzione della pena può essere differita:;se è presentata domanda di grazia.;se deve  aver luogo nei confronti di donna incinta.;se deve  aver luogo nei confronti di madre di un infante di età inferiore ad anni uno.;se deve  aver luogo nei confronti di persona affetta da AIDS conclamata.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
213;La durata massima della pena accessoria temporanea della sospensione dall'esercizio di una professione o di un'arte non può superare, secondo l'art. 79 c.p.:;i cinque anni.;i dieci anni.;i tre anni.;i sette anni.
214;La durata massima della pena accessoria temporanea dell'interdizione dai pubblici uffici non può superare, in base all'art. 79 c.p.:;i dieci anni.;i cinque anni.;i sette anni.;i dodici anni.
215;Per il pubblico ufficiale, che, nell’esercizio delle sue funzioni, supponendo esistente un atto pubblico o privato, ne simula una copia e la rilascia in forma legale, ovvero rilascia una copia di un atto pubblico o privato diversa dall’originale, è prevista dal codice penale la pena:;della reclusione da uno a quattro anni.;della reclusione da tre a otto anni.;della reclusione da tre mesi a quattro  anni.;da uno a tre anni.
216;A norma  dell’art. 69 c.p., nella disciplina del concorso di circostanze attenuanti ed aggravanti, per quale delle seguenti ipotesi è espressamente previsto il divieto di prevalenza delle attenuanti sulle ritenute circostanze aggravanti?;Per  chi ha determinato a commettere un reato una persona non imputabile.;Per tutti i casi di concorso di persone nel reato.;Per chi, nell’esercizio della sua autorità ha determinato a commettere il reato persone ad esso soggette.;Per tutti i casi in cui il reato sia stato commesso da un delinquente abituale, professionale o per tendenza.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
217;In materia penale, l’ipotesi di desistenza volontaria in conformità all'art. 56 c.p. può verificarsi:;nell’ambito del tentativo incompiuto.;quando l'agente, pur avendo portata a compimento la condotta, impedisce il verificarsi dell'evento.;quando, pur avendo completato la condotta, l’agente si adopera per impedire l'evento.;quando l'agente, pur avendo completato la condotta, si adopera spontaneamente per attenuare le conseguenze del reato.
218;Il perdono giudiziale per i minori degli anni diciotto può essere concesso dal Giudice, con riferimento alle norme  del codice penale:;prima di pronunciare il rinvio a giudizio o nella sentenza.;esclusivamente prima di pronunciare il rinvio a giudizio;esclusivamente prima dell'apertura del dibattimento in primo grado.;esclusivamente nelle fasi preliminari al dibattimento.
219;L’estradizione, ai sensi dell'art. 13 c.p., può essere concessa anche per reati non previsti nelle convenzioni internazionali:;purché le convenzioni internazionali non ne facciano espresso divieto.;salvo che il Ministro della Giustizia non vi si opponga.;qualora il Ministro della Giustizia vi acconsenta.;in ogni caso di delitto per cui è prevista la pena della reclusione di almeno quindici anni nel minimo.
220;Il pagamento della somma corrispondente all’oblazione nelle contravvenzioni penali punite con pene alternative deve  avvenire secondo l'art. 162-bis c.p.:;prima dell’apertura del dibattimento o prima del decreto di condanna.;prima del deposito della sentenza o del decreto di condanna.;prima dell’udienza di rinvio a giudizio.;prima della chiusura del dibattimento.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
221;La sospensione condizionale della pena rende, ai sensi del codice penale, le misure di sicurezza:;inapplicabili, tranne la confisca.;applicabili.;inapplicabili salvo se si tratta di persona socialmente pericolosa.;inapplicabili, tranne la libertà vigilata.
222;Se  il reato  è stato commesso da persona di età superiore agli anni 18 ma inferiore agli anni 21, agli effetti delle norme  del codice penale, la sospensione condizionale della pena può essere ordinata quando si infligga una pena restrittiva della libertà personale non superiore a:;due anni e sei mesi.;due anni.;tre anni e tre mesi.;5 anni, se la condanna è per delitto e 3 anni se la condanna è per contravvenzione.
223;Rispetto ai crediti per il pagamento delle spese anticipate e degli onorari del difensore, ai sensi dell'art. 194 c.p., gli atti compiuti a titolo gratuito dal colpevole prima del commesso reato,  qualora si provi che siano stati compiuti in frode:;non hanno efficacia.;sono pienamente efficaci.;sono annullabili.;sono nulli.
224;La privazione definitiva della capacità di assumere o di acquistare qualsiasi ufficio pubblico e della qualità ad esso inerente di pubblico ufficiale, secondo le vigenti norme  del codice penale, deriva:;dalla pena accessoria dell'interdizione perpetua dai pubblici uffici.;dalla pena accessoria dell'interdizione temporanea dai pubblici uffici.;dalla pena accessoria dell'interdizione da una professione o da un'arte.;dalla pena accessoria dell'interdizione legale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
225;Sulla base delle disposizioni del codice penale, l'ordine impartito dall'Autorità superiore scrimina chi lo esegue:;quando è legittimo sia sotto il profilo formale che sostanziale.;solo nel caso in cui non sia manifestamente criminoso.;quando non può essere sindacato, per la tempestività con la quale deve  essere eseguito.;quando è impartito da un superiore competente ad emanarlo.
226;L’inescusabilità dell’ignoranza della legge penale, prevista dall'art. 5 c.p.:;non prevede eccezioni, salvo che l’ignoranza fosse inevitabile.;non prevede alcuna eccezione.;concerne esclusivamente la mancanza di conoscenza della norma  e non l’erronea interpretazione della norma stessa.;prevede eccezioni esclusivamente in relazione a particolari qualità personali del soggetto attivo.
227;In caso di respingimento, in base all'art. 162bis c.p., la domanda di oblazione nelle contravvenzioni punite con pene alternative può essere riproposta:;sino all’inizio della discussione finale del dibattimento di primo grado.;sino a prima dell’apertura del dibattimento o prima del decreto di condanna.;sino a prima del deposito della sentenza o del decreto di condanna.;sino alla prima udienza di rinvio a giudizio.
228;Il Giudice può discrezionalmente aggiungere alla pena della reclusione la pena della multa non prevista dalla legge, viste le norme  del codice penale:;solo per  i delitti determinati da motivi di lucro.;solo se la pena della reclusione applicata supera i due anni.;solo se la pena della reclusione applicata supera i tre anni.;solo per i delitti contro il patrimonio.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
229;L’astensione dagli incanti, prevista dall'art. 354 c.p., è punita:;con la reclusione o la multa.;con l'arresto e l'ammenda.;con la reclusione e la multa.;esclusivamente con la multa.
230;Il dipendente di un ente  privato concessionario di un servizio pubblico, che si appropria del denaro versato dagli utenti e riscosso nell’ambito delle sue attribuzioni, commette il reato  di:;peculato.;indebita destinazione di denaro o cose mobili.;furto.;malversazione.
231;Nel caso di sentenza di condanna per il delitto di concussione di membri degli organi delle Comunità europee, ex art. 322 bis c.p., quando il fatto è di particolare tenuità:;la pena è diminuita, salvo nelle specifiche ipotesi aggravate previste dall'art. 131 c.p.;la pena è diminuita di un terzo,  salvo nelle specifiche ipotesi aggravate previste dall'art. 131 c.p.;la pena è diminuita da un terzo a due terzi, salvo nelle specifiche ipotesi aggravate previste dall'art. 131 c.p.;si applica soltanto la sanzione amministrativa del pagamento di una somma di denaro, nella misura pari al triplo del beneficio conseguito.
