N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
237;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., l'Ufficio per i procedimenti disciplinari competente per le infrazioni punibili con sanzione superiore al rimprovero verbale:;è individuato da ciascuna Amministrazione, secondo il proprio ordinamento e nell'ambito della propria organizzazione.;è individuato espressamente dal medesimo D. Lgs. 165/2001.;è individuato dai singoli contratti collettivi, salvo eccezioni.;è individuato dall’Organismo Indipendente di Valutazione (O.I.V.) nominato dall'organo di indirizzo politico- amministrativo di ciascuna Amministrazione.;
238;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., gli atti di avvio e conclusione del procedimento disciplinare, nonché l'eventuale provvedimento di sospensione cautelare del dipendente, sono comunicati dall'Ufficio competente di ogni amministrazione:;all'Ispettorato per la funzione pubblica.;all’Autorità Nazionale Anticorruzione.;al Comitato dei Garanti per la funzione pubblica.;all’Organismo Indipendente di Valutazione (O.I.V.).;
239;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., in materia di procedimenti amministrativi, i dirigenti di uffici dirigenziali generali hanno anche potere sostitutivo in caso di inerzia dei responsabili dei procedimenti?;Sì, il D.lgs. n. 165/2001 lo prevede espressamente.;No, hanno poteri di direzione e controllo, ma non potere sostitutivo.;Sì, tranne le eccezioni espressamente indicate dal D.lgs. 165/2001.;No, tranne che nelle ipotesi espressamente indicate dal D.lgs. 165/2001.;
240;Tra le fonti del rapporto di lavoro di pubblico impiego è annoverato anche il Codice Civile?;Sì, a seguito del c.d. processo di privatizzazione del pubblico impiego.;No, il Codice Civile tratta esclusivamente di rapporti tra soggetti privati.;Sì, ma solo per le materie non disciplinate dai contratti collettivi di lavoro.;Sì, ma i rapporti contrattuali a tempo indeterminato.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
241;I contratti collettivi di lavoro possono essere annoverati tra le fonti normative del rapporto di lavoro alle dipendenze degli Enti Locali?;Sì, ma solo per le materie non riservate alla legge.;No, le uniche fonti normative in materia sono solo le leggi e gli atti normativi equiparati.;No, salvo le eccezioni relative a particolari rapporti di lavoro.;No, le uniche fonti normative in materia sono solamente gli atti normativi equiparati.;
242;Ai sensi della vigente normativa, su quali livelli si articola la contrattazione collettiva nel pubblico impiego?;Contrattazione collettiva nazionale concernente singoli comparti del pubblico impiego e contrattazione integrativa.;Contrattazione quadro, contrattazione di comparto, contrattazione decentrata.;Contrattazione che regola solo istituti “economici”, contrattazione di comparto.;Contrattazione integrativa e contrattazione primaria.;
243;Rispetto alle norme contenute nel Codice Civile in materia di disciplina del pubblico impiego, le disposizioni contenute nel D. Lgs. n.165/2001 e ss.mm.ii. si pongono come:;Norme imperative e, di conseguenza, prevalenti.;Norme subordinate in ogni caso a quelle contenute nel Codice Civile.;Norme subordinate a quelle contenute nel Codice Civile, salvo le eccezioni espressamente previste dal medesimo D. Lgs. 165/2001.;Norme sostitutive e, e di conseguenza, non prevalenti.;
244;Il D. Lgs. n. 165/2001 e ss.mm.ii. demanda alle singole Pubbliche Amministrazioni, tra l'altro:;la determinazione delle dotazioni organiche complessive.;la libera determinazione dei principi in materia di reclutamento del personale.;la disciplina dei principi generali in materia di accesso alle informazioni e di partecipazione all'attività amministrativa.;nessuna delle alternative proposte è corretta.;
245;Quale, tra le funzioni di seguito indicate, sono espressamente assegnate dal D. Lgs. n. 165/2001 e ss.mm.ii. agli organi di governo della Pubblica Amministrazione?;La definizione degli obiettivi e dei programmi da attuare e l’adozione degli atti rientranti nello svolgimento di tali funzioni.;La definizione dei soli obiettivi e programmi per l'azione amministrativa e per la gestione, ma non l’adozione dei relativi atti, che competono ai dirigenti.;La gestione tecnica, mediante autonomi poteri di spesa, di organizzazione delle risorse umane, strumentali e di controllo.;Tutte le alternative proposte sono corrette.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
246;Quale, tra le funzioni di seguito indicate, sono espressamente assegnate dal D. Lgs. n. 165/2001 e ss.mm.ii. agli organi di governo della Pubblica Amministrazione?;Il compito di effettuare le richieste di pareri alle autorità amministrative indipendenti ed al Consiglio di Stato.;La responsabilità, in via esclusiva, dell'attività amministrativa, della gestione e dei relativi risultati.;La gestione tecnica, mediante autonomi poteri di spesa, di organizzazione delle risorse umane, strumentali e di controllo.;nessuna delle alternative proposte è corretta.;
247;In base al D. Lgs. n. 165/2001 e ss.mm.ii., a chi spetta, nelle amministrazioni pubbliche statali, il compito di effettuare le richieste di pareri alle autorità amministrative indipendenti ed al Consiglio di Stato?;Agli organi di governo.;Ai dirigenti di uffici dirigenziali generali.;Ai dirigenti.;All’OIV.;
248;Nell’ambito della Pubblica Amministrazione, quale, tra le funzioni di seguito indicate, sono espressamente assegnate ai dirigenti dal D. Lgs. n. 165/2001 e ss.mm.ii.?;La gestione finanziaria, tecnica e amministrativa mediante autonomi poteri di organizzazione delle risorse anche strumentali e di controllo.;Il compito di effettuare le richieste di pareri alle autorità amministrative indipendenti ed al Consiglio di Stato.;La definizione degli obiettivi e dei programmi da attuare e l’adozione degli atti rientranti nello svolgimento di tali funzioni.;Esclusivamente la gestione amministrativa mediante autonomi poteri di organizzazione delle risorse anche strumentali e di controllo.;
249;"In materia di ""funzioni e responsabilità"", il D. Lgs. n. 165/2001 e ss.mm.ii. stabilisce che i dirigenti delle Pubbliche Amministrazioni:";sono responsabili in via esclusiva dell'attività amministrativa, della gestione e dei relativi risultati.;non sono direttamente responsabili né della gestione, né dei relativi risultati, salvo eccezioni.;definiscono gli obiettivi e i programmi da attuare ed adottano gli atti rientranti nello svolgimento di tali funzioni.;don sono mai responsabili in via esclusiva dell'attività amministrativa, della gestione e dei relativi risultati.;
250;A norma della disciplina introdotta dal D. Lgs. n. 165/2001 e ss.mm.ii., ai dirigenti spetta:;l'adozione degli atti e provvedimenti amministrativi, compresi quelli che impegnano l'amministrazione verso l'esterno.;definire gli obiettivi e i programmi da attuare ed adottare gli atti rientranti nello svolgimento di tali funzioni.;da gestione tecnica e amministrativa, ma non quella finanziaria, mediante autonomi poteri di spesa, di organizzazione delle risorse umane, strumentali e di controllo.;l'adozione degli atti e provvedimenti amministrativi, esclusi quelli che impegnano l'amministrazione verso l'esterno.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
251;A chi spetta negli Enti locali, in base al D. Lgs. n.165/2001 e ss.mm.ii., la gestione finanziaria, tecnica e amministrativa mediante autonomi poteri di spesa, di organizzazione delle risorse umane, strumentali e di controllo?;Ai dirigenti.;Solo ai responsabili del procedimento.;Agli organi di governo dell'Amministrazione.;All’OIV.;
252;Ai sensi del D. Lgs. n.165/2001, le attribuzioni che la norma assegna ai Dirigenti possono essere derogate:;soltanto espressamente e ad opera di specifiche disposizioni legislative.;salvo i casi in cui la deroga è espressamente esclusa dalla legge.;in nessun caso, trattandosi di norme imperative.;sempre.;
253;A norma del D. Lgs. n.165/2001 e ss.mm.ii., quale delle seguenti affermazioni è corretta in relazione agli incarichi individuali che le Pubbliche Amministrazioni possono conferire con contratti di lavoro autonomo ad esperti di particolare e comprovata specializzazione?;Tali incarichi non possono essere mai rinnovati e possono essere prorogati solo nei casi espressamente previsti dal medesimo D. Lgs. n. 165/2001.;Tali incarichi non possono essere in alcun caso rinnovati o prorogati.;Tali incarichi possono essere rinnovati per una sola volta, salvo eccezioni.;Tali incarichi possono essere rinnovati al massimo per tre volte, salvo eccezioni.;
254;A norma del D. Lgs. n.165/2001 e ss.mm.ii., nella gestione delle risorse umane le Amministrazioni Pubbliche individuano criteri certi di priorità nell'impiego flessibile del personale?;Sì, a favore dei dipendenti in situazioni di svantaggio personale, sociale e familiare e dei dipendenti impegnati in attività di volontariato.;No, non sono tenute a farlo.;Sì, a favore dei dipendenti con almeno venti anni di anzianità di servizio.;Sì, esclusivamente  a favore di dipendenti assunti con contratto di lavoro a tempo indeterminato aventi almeno dieci anni di anzianità di servizio.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
255;A norma del D. Lgs. n.165/2001 e ss.mm.ii., per quale tipo di spesa le amministrazioni pubbliche adottano tutte le misure affinché questa sia evidente, certa e prevedibile nella evoluzione?;La spesa per il proprio personale.;La spesa per gli investimenti.;La spesa per gli interessi passivi.;La spesa per dematerializzazione.;
256;A norma del D. Lgs. n.165/2001 e ss.mm.ii., per la gestione del contenzioso del lavoro:;più amministrazioni omogenee o affini possono istituire un unico ufficio per la gestione di tutto o parte del contenzioso comune.;ciascuna amministrazione deve sempre istituire un proprio ufficio anche se vi sia contenzioso comune con amministrazioni affini.;più amministrazioni anche se non omogenee o affini possono istituire un unico ufficio per la gestione del contenzioso di ognuno.;più amministrazioni anche se non omogenee o affini devono istituire un almeno tre uffici per la gestione del contenzioso comune.;
257;A norma del “Codice di comportamento dei dipendenti pubblici”, il dipendente informa per iscritto il dirigente dell’ufficio se stipula contratti a titolo privato con persone fisiche o giuridiche private con le quali abbia concluso contratti di appalto per conto dell’amministrazione:;nel biennio precedente, salvo eccezioni.;nel biennio precedente, senza eccezioni.;nel triennio precedente, senza eccezioni.;nel triennio precedente, salvo eccezioni.;
258;Ai sensi del D. Lgs. n. 165/2001 e ss.mm.ii., i ricorsi gerarchici contro gli atti e i provvedimenti amministrativi dei dirigenti di uffici dirigenziali generali sono ammissibili?;No, in nessun caso.;Sì, salvo le eccezioni previste espressamente dalla legge.;Solo nei casi espressamente indicati dalla legge.;Sì, sempre.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
259;A norma del D. Lgs. n.165/2001 e ss.mm.ii., i dirigenti di uffici dirigenziali generali hanno il potere di promuovere e resistere alle liti e di conciliare e di transigere?;Sì, il D. Lgs. n.165/2001 lo prevede espressamente.;Si, ma solo nelle ipotesi espressamente indicate dal D. Lgs. 165/2001.;No, senza eccezioni.;Tale fattispecie non è contemplata dal D. Lgs. n.165/2001.;
260;A norma del D. Lgs. n.165/2001 e ss.mm.ii., in materia di procedimenti amministrativi, i dirigenti di uffici dirigenziali generali hanno anche potere sostitutivo in caso di inerzia dei responsabili dei procedimenti?;Sì, il D.lgs. n. 165/2001 lo prevede espressamente.;No, hanno poteri di direzione e controllo, ma non potere sostitutivo.;Si, tranne le eccezioni espressamente indicate dal D.lgs. 165/2001.;No, hanno potere sostitutivo, ma non potere di direzione e controllo.;
261;Ai sensi del D. Lgs. n.165/2001 e ss.mm.ii., la durata dell’incarico di funzioni dirigenziali non può essere, di norma:;inferiore a 3 anni.;Inferiore a 1 anno.;Inferiore a 2 anni.;Inferiore a 5 anni.;
262;È consentita, a norma del D. Lgs. n. 165/2001 e ss.mm.ii., la revoca degli incarichi di funzioni dirigenziali?;Sì, ma esclusivamente nei casi previsti dal medesimo D. Lgs. n. 165/2001.;Sì, ma solo a seguito di sentenza penale di condanna, anche non definitiva, per particolari reati espressamente indicati dalla legge.;Sì, in ogni caso, trattandosi di una decisione discrezionale della Pubblica Amministrazione.;No, in nessun caso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
263;Ai sensi del D. Lgs. n.165/2001 e ss.mm.ii., i dipendenti delle Pubbliche Amministrazioni possono essere collocati in aspettativa per lo svolgimento di attività presso soggetti e organismi, pubblici o privati, anche operanti in sede internazionale?;Sì, salvo motivato diniego dell'amministrazione di appartenenza in ordine alle proprie preminenti esigenze organizzative.;No, salvo casi particolari espressamente indicati dalla legge.;Sì, tranne che per attività presso soggetti privati e salvo motivato diniego dell'amministrazione di appartenenza in ordine alle proprie preminenti esigenze organizzative.;No, in nessun caso.;
264;A norma del D. Lgs. n.165/2001 e ss.mm.ii., i dipendenti delle Pubbliche Amministrazioni possono essere trasferiti all’interno della stessa Amministrazione o, previo accordo tra le Amministrazioni interessate, in altra Amministrazione, in sedi collocate nel territorio dello stesso comune, ovvero…;a distanza non superiore a 50 chilometri dalla sede cui sono adibiti.;a distanza non superiore a 90 chilometri dalla sede cui sono adibiti.;a distanza non superiore a 30 chilometri dalla sede cui sono adibiti.;a distanza non superiore a 150 chilometri dalla sede cui sono adibiti.;
265;Ai sensi del D. Lgs. n.165/2001 e ss.mm.ii., i dipendenti delle Pubbliche Amministrazioni possono essere trasferiti, previo accordo tra le Amministrazioni interessate, in altra Amministrazione?;Sì.;No, in nessun caso.;Sì, ma ciò vale solo per i dipendenti aventi un contratto di lavoro subordinato a tempo indeterminato.;Sì, ma ciò vale solo per i dipendenti aventi un contratto di lavoro subordinato a tempo determinato.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
266;Per quanto concerne i dipendenti pubblici posti in mobilità, il D. Lgs. n. 165/2001 e ss.mm.ii. stabilisce che il rapporto di lavoro si intende definitivamente risolto alla data del raggiungimento del periodo massimo di fruizione dell’indennità o anche prima di detto periodo massimo qualora…;il dipendente in disponibilità rinunci o non accetti per due volte l’assegnazione nell’ambito della provincia dallo stesso indicata.;il dipendente in disponibilità rinunci o non accetti per tre volte l’assegnazione nell’ambito della provincia dallo stesso indicata.;il dipendente in disponibilità rinunci o non accetti per due volte l’assegnazione nell’ambito della regione dallo stesso indicata.;il dipendente in disponibilità rinunci o non accetti per tre volte l’assegnazione nell’ambito della regione dallo stesso indicata.;
267;Quale atto normativo disciplina le dotazioni organiche del personale negli Enti Locali?;Il regolamento sull'ordinamento degli uffici e dei servizi dei singoli enti locali, nel rispetto dei principi fissati dal D. Lgs. n. 165/2001.;L’apposito Regolamento del singolo Ente Locale, sulla base dei principi stabiliti dallo Statuto.;Lo statuto dei singoli enti locali, nel rispetto dei principi fissati dal D.lgs. 165/2001.;Il regolamento sull'ordinamento degli uffici e dei servizi dei singoli enti locali, nel rispetto dei principi fissati dal codice civile.;
268;Quale atto normativo disciplina le procedure concorsuali per le assunzioni negli Enti Locali?;Il regolamento sull'ordinamento degli uffici e dei servizi dei singoli enti locali, nel rispetto dei principi fissati dal D. Lgs. n.165/2001.;L’apposito Regolamento del singolo Ente Locale, sulla base dei principi stabiliti dallo Statuto.;Lo statuto dei singoli enti locali, nel rispetto dei principi fissati dal D. Lgs. n.165/2001.;Lo statuto dei singoli enti locali, nel rispetto dei principi fissati dal codice civile.;
269;Quale atto normativo disciplina le modalità di assunzione agli impieghi per il personale degli Enti Locali?;Il regolamento sull'ordinamento degli uffici e dei servizi dei singoli enti locali, nel rispetto dei principi fissati dal D. Lgs. n.165/2001.;L’apposito Regolamento del singolo Ente Locale, sulla base dei principi stabiliti dallo Statuto.;Lo statuto dei singoli enti locali, nel rispetto dei principi fissati dal D.lgs. 165/2001.;Il piano delle performance del singolo Ente Locale, sulla base dei principi stabiliti dallo Statuto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
270;A norma del D. Lgs. n.165/2001 e ss.mm.ii., i pubblici ufficiali che sono stati condannati per reati contro la Pubblica Amministrazione, possono fare parte di commissioni per la selezione a pubblici impieghi?;No, anche con sentenza non passata in giudicato.;Sì, ma solo se la sentenza non è passata in giudicato.;Sì, ma solo con compiti di segreteria e solo con sentenza non passata in giudicato.;Sì, senza particolari limitazioni.;
271;A norma del D. Lgs. n.165/2001 e ss.mm.ii., le amministrazioni pubbliche facenti capo agli Enti Locali possono stipulare i contratti di lavoro subordinato a tempo determinato?;Soltanto per comprovate esigenze di carattere esclusivamente temporaneo o eccezionale.;Soltanto con orario part- time.;Anche per le esigenze connesse con il proprio fabbisogno ordinario.;Soltanto con modalità di lavoro in modalità da remoto.;
272;A norma del D. Lgs. n.165/2001 e ss.mm.ii., le Pubbliche Amministrazioni possono avvalersi delle forme contrattuali flessibili di assunzione e di impiego del personale previste dal Codice Civile e dalle leggi sui rapporti di lavoro subordinato nell’impresa?;Sì, per rispondere ad esigenze temporanee ed eccezionali nel rispetto delle procedure di reclutamento vigenti.;No, mai.;Sì, nel rispetto delle procedure di reclutamento vigenti, sia per rispondere ad esigenze temporanee ed eccezionali, sia per esigenze connesse con il proprio fabbisogno ordinario.;No, salvo le eccezioni espressamente previste dalla normativa.;
273;A norma del D. Lgs. n.165/2001 e ss.mm.ii., le Amministrazioni Pubbliche possono ricorrere alla somministrazione di lavoro per l'esercizio di funzioni direttive e dirigenziali?;No, in nessun caso.;Sì, ma solo per l'esercizio di funzioni direttive.;Sì, ma solo per l'esercizio di funzioni dirigenziali.;Sì, in ogni caso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
274;“Il dipendente informa per iscritto il dirigente dell’ufficio se stipula contratti a titolo privato con persone fisiche o giuridiche private con le quali abbia concluso contratti di appalto per conto dell’amministrazione nel biennio precedente, salvo eccezioni”. A norma di quanto specificato dal D. Lgs. n.165/2001 e ss.mm.ii., tale affermazione è:;Corretta.;Errata, poiché Il dipendente informa per iscritto il dirigente dell’ufficio se stipula contratti a titolo privato con persone fisiche o giuridiche private con le quali abbia concluso contratti di appalto per conto dell’amministrazione nel triennio precedente, in ogni caso.;Errata, poiché Il dipendente informa per iscritto il dirigente dell’ufficio se stipula contratti a titolo privato con persone fisiche o giuridiche private con le quali abbia concluso contratti di appalto per conto dell’amministrazione nell’anno precedente, in ogni caso.;Errata, poiché Il dipendente informa per iscritto il dirigente dell’ufficio se stipula contratti a titolo privato con persone fisiche o giuridiche private con le quali abbia concluso contratti di appalto per conto dell’amministrazione nell’anno precedente, salvo eccezioni.;
275;A norma del D. Lgs. n.165/2001 e ss.mm.ii., i contratti di lavoro a tempo determinato nelle Pubbliche Amministrazioni posti in essere in violazione delle norme contenute nel medesimo Decreto Legislativo:;sono nulli e determinano responsabilità erariale.;sono annullabili e possono determinare responsabilità erariale e penale.;sono annullabili e possono determinare responsabilità erariale.;sono inefficaci e determinano responsabilità amministrativa e penale.;
276;La Consulta nazionale per l'integrazione in ambiente di lavoro delle persone con disabilità è formata da:;12 membri.;16 membri.;9 membri.;5 membri.;
277;A norma di quanto dispone il T.U. del pubblico impiego, la contrattazione collettiva può riguardare la materia del conferimento e della revoca degli incarichi dirigenziali?;No, la materia è espressamente esclusa.;Può riguardare solo la revoca e non il conferimento.;Può riguardare solo il conferimento e non la revoca.;Sì, come espressamente previsto dalla normativa.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
278;A norma del D. Lgs. n.165/2001 e ss.mm.ii., quanti comparti di contrattazione collettiva nazionale possono essere definiti?;Fino a un massimo di quattro.;Fino a un massimo di tre.;Fino a un massimo di cinque.;Fino a un massimo di due.;
279;A norma di quanto dispone il D. Lgs. n.165/2001 e ss.mm.ii., la contrattazione collettiva può riguardare le materie attinenti all’organizzazione degli uffici?;No, la materia è espressamente esclusa.;Sì, nei limiti indicati dal medesimo D. Lgs. 165/2001.;Sì, nei limiti previsti dai medesimi contratti collettivi.;Sì, nei limiti indicati dal codice civile.;
280;A norma del D. Lgs. n.165/2001 e ss.mm.ii., gli accordi o i contratti collettivi nazionali possono prevedere che siano costituite rappresentanze unitarie del personale comuni a più amministrazioni?;Sì, ma solo per gli enti di modeste dimensioni ubicati nel medesimo territorio.;Sì, senza particolari limitazioni.;Sì, alla sola condizione che i tratti di enti ubicati nel medesimo territorio.;No, in nessun caso.;
281;A norma del D. Lgs. n.165/2001 e ss.mm.ii., l’organismo di rappresentanza sindacale unitaria del personale può essere costituito in ciascuna amministrazione o ente che occupi:;oltre 15 dipendenti, salvo che i contratti collettivi non prevedano, in relazione alle caratteristiche del comparto, diversi criteri dimensionali.;oltre 20 dipendenti, in ogni caso.;oltre 20 dipendenti, salvo che i contratti collettivi non prevedano, in relazione alle caratteristiche del comparto, diversi criteri dimensionali.;oltre 15 dipendenti, in ogni caso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;;RISPOSTA2;RISPOSTA3;RISPOSTA4;
282;A norma del D. Lgs. n.165/2001 e ss.mm.ii., le specifiche modalità delle elezioni dell'organismo di rappresentanza unitaria del personale, sono definite:;con appositi accordi o contratti collettivi nazionali, tra l'ARAN e le confederazioni o organizzazioni sindacali rappresentative, individuate secondo i criteri indicati dal medesimo Decreto legislativo.;dalla L. 300/1970 (Statuto dei lavoratori), e successive modificazioni ed integrazioni.;don appositi accordi o contratti collettivi nazionali, tra le confederazioni o organizzazioni sindacali rappresentative, individuate secondo i criteri indicati dal medesimo Decreto legislativo, e le singole Pubbliche Amministrazioni.;direttamente e autonomamente dall’ARAN.;
283;A norma del D. Lgs. n.165/2001 e ss.mm.ii., l'ARAN ammette alla contrattazione collettiva nazionale le organizzazioni sindacali che abbiano nel comparto o nell'area una rappresentatività non inferiore:;al 5%.;al 10%.;al 7%.;al 15%.;
284;“La durata dell’incarico di funzioni dirigenziali non può essere, di norma inferiore a 2 anni.” A norma del D. Lgs. n.165/2001 e ss.mm.ii., tale affermazione è:;Errata, poiché non può essere di norma inferiore a 3 anni.;Corretta.;Errata, poiché non può essere di norma inferiore a un anno.;Errata, poiché non può essere di norma inferiore a quattro anni.;
285;Quale atto normativo disciplina i requisiti di accesso all’impiego per il personale degli Enti Locali?;Il regolamento sull'ordinamento degli uffici e dei servizi dei singoli enti locali, nel rispetto dei principi fissati dal D. Lgs. n.165/2001.;L’apposito Regolamento del singolo Ente Locale, sulla base dei principi stabiliti dallo Statuto.;Lo statuto dei singoli enti locali, nel rispetto dei principi fissati dal D.lgs. 165/2001.;Il piano delle performance del singolo Ente Locale, sulla base dei principi stabiliti dal codice civile.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
286;A norma del D. Lgs. n.165/2001 e ss.mm.ii., ai fini delle deliberazioni in sede di contrattazione collettiva nazionale, l'ARAN e le organizzazioni sindacali rappresentate nel comitato:;votano separatamente e il voto delle seconde è espresso dalla maggioranza dei rappresentanti presenti.;votano congiuntamente e il voto delle seconde è espresso dalla maggioranza dei rappresentanti presenti.;votano separatamente e il voto delle seconde è espresso dalla media dei voti di tutti i rappresentanti presenti.;votano congiuntamente e il voto delle seconde è espresso dalla maggioranza qualificata dei rappresentanti presenti.;
287;A norma del D. Lgs. n.165/2001 e ss.mm.ii., quali atti definiscono i trattamenti economici accessori per i dipendenti pubblici collegati, all'effettivo svolgimento di attività particolarmente disagiate?;I contratti collettivi, in coerenza con le disposizioni legislative vigenti.;Lo stesso D. Lgs. n.165/2001.;I contratti individuali, in coerenza con le disposizioni legislative vigenti.;Lo Statuto dei Lavoratori.;
288;A norma del D. Lgs. n.165/2001 e ss.mm.ii., quali atti definiscono i trattamenti economici accessori per i dipendenti pubblici collegati, all'effettivo svolgimento di attività particolarmente pericolose o dannose per la salute?;I contratti collettivi, in coerenza con le disposizioni legislative vigenti.;Lo stesso D. Lgs. n.165/2001.;I contratti individuali, in coerenza con le disposizioni legislative vigenti.;Lo Statuto dei Lavoratori.;
289;A norma del D.lgs. 165/2001, quali atti definiscono i trattamenti economici accessori per i dipendenti pubblici collegati alla performance individuale?;I contratti collettivi, in coerenza con le disposizioni legislative vigenti.;Lo stesso D. Lgs. n.165/2001.;I contratti individuali, in coerenza con le disposizioni legislative vigenti.;Il codice civile.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
290;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., sono organi dell’ARAN:;il Presidente ed il Collegio di indirizzo e controllo.;il Presidente e il Consiglio di amministrazione.;il Direttore Generale e il Collegio di indirizzo e controllo.;Il Direttore amministrativo e il Comitato dei Garanti.;
291;A norma del D. Lgs. n.165/2001 e ss.mm.ii., l’acronimo “ARAN” sta per:;Agenzia per la rappresentanza negoziale delle pubbliche amministrazioni.;Autorità per la rappresentanza normativa delle pubbliche amministrazioni.;Assemblea per la rappresentanza normativa delle pubbliche amministrazioni.;Agenzia per la ricerca negoziale delle pubbliche amministrazioni.;
292;A norma del D. Lgs. n.165/2001 e ss.mm.ii., le norme concernenti l'organizzazione interna dell’ARAN sono definite:;con propri Regolamenti.;con Regolamenti emanati dal Ministro per la Pubblica Amministrazione.;dallo stesso D. Lgs. 165/2001.;con Regolamenti emanati dal Dipartimento della Funzione pubblica.;
293;A norma del D. Lgs. n.165/2001 e ss.mm.ii., le norme concernenti il funzionamento dell’ARAN sono definite:;con propri Regolamenti.;con Regolamenti emanati dal Ministro per la Pubblica Amministrazione.;dallo stesso D. Lgs. 165/2001.;con Regolamenti emanati dall’ANAC.;
294;A norma del D. Lgs. n.165/2001 e ss.mm.ii., le norme concernenti la gestione finanziaria dell’ARAN sono definite:;con propri Regolamenti.;con Regolamenti emanati dal Ministro per la Pubblica Amministrazione.;dallo stesso D. Lgs. 165/2001.;con Regolamenti emanati dall’ANAC.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
295;A norma del D. Lgs. n.165/2001 e ss.mm.ii., il Collegio di indirizzo e controllo dell’ARAN dura in carica:;4 anni e i suoi componenti possono essere riconfermati per una sola volta.;3 anni e i suoi componenti possono essere riconfermati per una sola volta.;4 anni e i suoi componenti non possono essere riconfermati.;3 anni e i suoi componenti non possono essere riconfermati.;
296;A norma del D. Lgs. n.165/2001 e ss.mm.ii., il Presidente dell’ARAN dura in carica:;4 anni e può essere riconfermato per una sola volta.;3 anni e può essere riconfermato per una sola volta.;4 anni e non può essere riconfermato.;2 anni e può essere riconfermato per una sola volta.;
297;A norma del D. Lgs. n.165/2001 e ss.mm.ii., la gestione finanziaria dell’ARAN:;è soggetta al controllo consuntivo della Corte dei Conti.;non è soggetta al controllo della Corte dei Conti.;è soggetta al controllo preventivo della Corte dei Conti.;è soggetta al controllo consuntivo dell’Agenzia delle Entrate.;
298;Ai sensi del D. Lgs. n.165/2001 e ss.mm.ii., Il Presidente dell'ARAN è nominato:;con decreto del Presidente della Repubblica.;con provvedimento del Collegio di indirizzo e controllo.;con delibera del Consiglio di amministrazione.;Con provvedimento dell’ANAC.;
299;Secondo quanto disciplinato dal D. Lgs. n.165/2001 e ss.mm.ii., quale, tra i seguenti, è un organo dell’ARAN?;Il Collegio di indirizzo e controllo.;Il Collegio dei garanti.;L’ Assemblea costituente.;Il Collegio dei revisori.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
300;Nell’ambito del procedimento di contrattazione collettiva, gli indirizzi per la contrattazione collettiva nazionale sono emanati, a norma del D. Lgs. n.165/2001:;dai Comitati di settore prima di ogni rinnovo contrattuale.;dall’ARAN, nell’ambito della contrattazione collettiva nazionale.;dai singoli Ministri competenti per il settore, sentito il parere dei Comitati di settore.;dall’ARAN, sentito il parere dei Comitati di settore.;
301;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., l’ipotesi di accordo in sede di contrattazione collettiva nazionale è trasmessa dall'ARAN:;ai comitati di settore ed al Governo entro 10 giorni dalla data di sottoscrizione.;ai comitati di settore ed al Governo entro 15 giorni dalla data di sottoscrizione.;esclusivamente ai comitati di settore entro 10 giorni dalla data di sottoscrizione.;esclusivamente ai comitati di settore entro 30 giorni dalla data di sottoscrizione.;
302;A norma del D. Lgs. n.165/2001 e ss.mm.ii., i limiti massimi delle aspettative e dei permessi sindacali nel settore pubblico sono determinati:;dalla contrattazione collettiva, in un apposito accordo tra l’ARAN e le Confederazioni sindacali rappresentative.;dal Codice di comportamento dei dipendenti pubblici.;dai contratti individuali di lavoro.;dal Codice di comportamento dei dipendenti pubblici e dai contratti individuali di lavoro.;
