120;Le sanzioni disciplinari applicabili nei confronti dei detenuti previste dalla L. n. 354/1975 e ss.mm.ii., sono deliberate:;a seconda della tipologia di sanzione, dal direttore dell'istituto o dal Consiglio di disciplina dell'istituto.;a seconda della tipologia di sanzione, dal direttore dell'istituto o dal Tribunale di sorveglianza.;in ogni caso, dal Consiglio di disciplina dell'istituto.;a seconda della tipologia di sanzione, dal Consiglio di disciplina dell'istituto o dal Magistrato di sorveglianza.;
121;Secondo quanto specificato dall'art.39 della L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti sanzioni disciplinari, non può protarsi oltre i quindici giorni?;L'esclusione dalle attività in comune.;L'isolamento durante la permanenza all'aria aperta.;L'esclusione da attività ricreative.;L'esclusione da attività sportive.;
122;Secondo quanto previsto dall'art. 43 della L. n. 354/1975 e ss.mm.ii., a chi spetta dare la notizia, nei tempi specificati dal medesimo articolo, della prevista dimissione del detenuto?;Al direttore dell'istituto.;Al Provveditore regionale dell'Amministrazione penitenziaria.;Al Gruppo di Osservazione e Trattamento (G.O.T.).;Al Tribunale di sorveglianza.;
123;A norma della L. n. 354/1975 e ss.mm.ii., il direttore dell'istituto dà notizia della prevista dimissione del detenuto al Consiglio di aiuto sociale e al Centro di servizio sociale del luogo in cui ha sede l'istituto ed a quelli del luogo dove il soggetto intende stabilire la sua residenza:;almeno tre mesi prima della dimissione, salvo il caso in cui il momento della dimissione non possa essere previsto con tale anticipo.;almeno un mese prima della dimissione,;almeno un sei mesi prima della dimissione, salvo il caso in cui il momento della dimissione non possa essere previsto con tale anticipo.;almeno due mesi prima della dimissione, salvo il caso in cui il momento della dimissione non possa essere previsto con tale anticipo.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
124;A norma dell'art. 43 della L. n. 354/1975 e ss.mm.ii., la notizia della prevista dimissione di un detenuto deve essere data, almeno tre mesi prima della stessa…;al Consiglio di aiuto sociale e al Centro di servizio sociale del luogo in cui ha sede l'istituto ed a quelli del luogo dove il soggetto intende stabilire la sua residenza.;al solo Centro di servizio sociale del luogo in cui ha sede l'istituto e a quello del luogo dove il detenuto intende stabilire la propria residenza.;al solo Consiglio di aiuto sociale del luogo in cui ha sede l'istituto e a quello del luogo dove il detenuto intende stabilire la propria residenza.;al solo Consiglio di aiuto sociale e al Centro di servizio sociale del luogo dove il soggetto intende stabilire la sua residenza.;
125;Così come specificato dall'art. 43 della L. n. 354/1975 e ss.mm.ii., la notizia della prevista dimissione di un detenuto deve essere data, almeno tre mesi prima della stessa:;anche al Consiglio di aiuto sociale del luogo in cui ha sede l'istituto ed a quello del luogo dove il soggetto intende stabilire la sua residenza.;esclusivamente Consiglio di aiuto sociale del luogo in cui ha sede l'istituto.;anche all'Ufficio interdistrettuale dell'esecuzione penale esterna del luogo in cui ha sede l'istituto ed a quello del luogo dove il soggetto intende stabilire la sua residenza.;anche ai Presidenti delle Corti d'Appello nei cui distretti ha sede l'istituto e si trova il luogo dove il detenuto intende stabilire la propria residenza.;
126;A norma dell'art. 35 della L. n. 354/1975 e ss.mm.ii., può essere proposto reclamo contro il provvedimento emesso dal Magistrato di sorveglianza che prevede la sottoposizione della corrispondenza a visto di controllo?;Sì, al Tribunale di sorveglianza.;Sì, al Consiglio di disciplina dell'istituto.;Sì, al Capo dell'Amministrazione penitenziaria.;No, in nessun caso.;
127;Così come disposto dall'art. 35 della L. n. 354/1975 e ss.mm.ii., contro il provvedimento emesso dal Magistrato di sorveglianza che prevede che la corrispondenza o la stampa non debba essere consegnata o inoltrata al condannato destinatario:;può essere proposto reclamo al Tribunale di sorveglianza.;non può essere proposto reclamo.;può essere proposto reclamo al Provveditore regionale dell'Amministrazione.;può essere proposto reclamo al Consiglio di aiuto sociale del luogo in cui ha sede l'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
128;Secondo il disposto dell'art. 43 della L. n. 354/1975 e ss.mm.ii., da chi è eseguita la dimissione dei detenuti?;Dalla direzione dell'istituto.;Dal Prefetto.;Dal Capo dell'Amministrazione penitenziaria.;Dal Magistrato di sorveglianza.;
129;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., il programma di trattamento individualizzato finalizzato alla rieducazione del condannato, è approvato:;dal Magistrato di sorveglianza.;dai servizi sociali con il parere favorevole del Tribunale di Sorveglianza.;dal Consiglio di disciplina dell'istituto.;dal Consiglio di disciplina dell'istituto con il parere favorevole del Tribunale di sorveglianza.;
130;La Cassa per il soccorso e l'assistenza alle vittime del delitto, di cui all'art. 73 della L. n. 354/1975 e ss.mm.ii. è istituita presso:;la direzione generale per gli istituti di prevenzione e di pena.;il Ministero della giustizia.;la direzione generale dei Provveditorati regionali dell'Amministrazione penitenziaria.;l'Avvocatura dello Stato.;
131;A norma della L. n. 354/1975 e ss.mm.ii., gli Uffici locali di esecuzione penale esterna prestano la propria consulenza per favorire il buon esito del trattamento penitenziario?;Sì, su richiesta delle direzioni degli istituti penitenziari.;No, in nessun caso.;Sì, su richiesta del Magistrato di sorveglianza.;Sì, su richiesta del Centro di servizio sociale del luogo in cui ha sede l'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
132;A norma della L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti, non rientra tra le competenze proprie degli Uffici locali di esecuzione penale esterna?;Provvedere con provvedimento motivato, sui permessi, sulle licenze ai detenuti semiliberi ed agli internati e sulle modifiche relative all'affidamento in prova al servizio sociale e alla detenzione domiciliare.;Proporre all'autorità giudiziaria il programma di trattamento da applicare ai condannati che chiedono di essere ammessi all'affidamento in prova.;Svolgere su richiesta dell'autorità giudiziaria, le inchieste utili a fornire i dati occorrenti per l'applicazione, la modificazione, la proroga e la revoca delle misure di sicurezza.;Svolgere le indagini socio- familiari e l'attività di osservazione del comportamento per l'applicazione delle misure alternative alla detenzione ai condannati.;
133;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti, rientra tra le competenze proprie degli Uffici locali di esecuzione penale esterna?;Proporre all'autorità giudiziaria il programma di trattamento da applicare ai condannati che chiedono di essere ammessi all'affidamento in prova.;Esprimere motivato parere sulle proposte e le istanze di grazia concernenti i detenuti.;Provvedere alla trasformazione o revoca, anche anticipata, delle misure alternative alla detenzione.;All'atto dell'affidamento in prova, redigere il verbale in cui sono dettate le prescrizioni che il soggetto dovrà seguire in ordine ai suoi rapporti con il servizio sociale, alla dimora, alla libertà di locomozione, al divieto di frequentare determinati locali ed al lavoro.;
134;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., l'istanza di affidamento in prova al servizio sociale è proposta, dopo che ha avuto inizio l'esecuzione della pena:;al Tribunale di sorveglianza competente in relazione al luogo dell'esecuzione.;al Centro di servizio sociale competente in relazione al luogo dell'esecuzione.;al Provveditore regionale dell'Amministrazione penitenziaria competente in relazione al luogo dell'esecuzione.;all'Ufficio interdistrettuale dell'esecuzione penale esterna competente in relazione al luogo dell'esecuzione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
135;A norma della L. n. 354/1975 e ss.mm.ii., se il regime di sorveglianza particolare non è attuabile nell'istituto ove il detenuto o l'internato si trova, l'Amministrazione penitenziaria può disporre il trasferimento in altro istituto idoneo?;Sì, con provvedimento motivato e dandone immediato avviso al Magistrato di sorveglianza.;Sì, con provvedimento motivato e dandone immediato avviso al Prefetto.;Sì, con provvedimento motivato e previo parere favorevole del Tribunale di sorveglianza.;No, in nessun caso.;
136;Relativamente alla misura dell'affidamento in prova al servizio sociale, secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., il servizio sociale riferisce sul comportamento del soggetto:;al Magistrato di sorveglianza.;al Provveditore regionale dell'Amministrazione penitenziaria territorialmente competente.;al Consiglio di disciplina dell'istituto.;al Consiglio di aiuto sociale del luogo in cui ha sede l'istituto.;
137;Con riferimento misura dell'affidamento in prova al servizio sociale, secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., nel corso dell'affidamento le prescrizioni possono essere modificate:;dal Magistrato di sorveglianza.;dal direttore dell'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria.;dal Centro di servizio sociale competente in relazione al luogo dell'esecuzione.;
138;"Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., i detenuti possono chiedere di essere visitati a proprie spese da un esercente di una professione sanitaria di loro fiducia esterno rispetto al servizio sanitario nazionale operante nell'istituto penitenziari; la predetta autorizzazione è data:";dal direttore dell'istituto.;dal Magistrato di sorveglianza.;dal Tribunale di sorveglianza.;dal Consiglio di aiuto sociale del luogo in cui ha sede l'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
139;A norma della L. n. 354/1975 e ss.mm.ii., se la persona sottoposta alla misura alternativa pone in essere comportamenti suscettibili di determinarne la revoca, a chi spetta il compito di decidere in ordine alla prosecuzione, sostituzione o revoca della misura?;Al Tribunale di sorveglianza.;al Capo del Dipartimento dell'Amministrazione penitenziaria.;al Provveditore regionale dell'Amministrazione penitenziaria.;Al Consiglio di disciplina dell'istituto.;
140;A norma della L. n. 354/1975 e ss.mm.ii., nel caso in cui il Magistrato di sorveglianza disponga con decreto motivato la provvisoria sospensione della misura alternativa e ordini l'accompagnamento in istituto del trasgressore, il provvedimento di sospensione perde efficacia se la decisione del Tribunale di sorveglianza:;non interviene entro trenta giorni dalla ricezione degli atti.;non interviene entro quindici giorni dalla ricezione degli atti.;non interviene entro quarantacinque giorni dalla ricezione degli atti.;non interviene entro sessanta giorni dalla ricezione degli atti.;
141;La misura alternativa della detenzione domiciliare, di cui alla L. n. 354/1975 e ss.mm.ii., può essere applicata, anche oltre i limiti di pena previsti dalla normativa, nei confronti di coloro che sono affetti da AIDS conclamata o da grave deficienza immunitaria accertate:;su istanza dell'interessato o del suo difensore.;esclusivamente su istanza dell'interessato.;su istanza dell'interessato o del direttore dell'istituto.;su istanza dell'interessato o del Magistrato di sorveglianza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
142;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., nel termine di novanta giorni antecedente alla maturazione del termine di conclusione della pena da espiare, a chi spetta il compito di accertare la sussistenza dei presupposti per la concessione della liberazione anticipata in relazione ai semestri che non sono già stati oggetto di valutazione?;Al Magistrato di sorveglianza.;Al Consiglio di disciplina dell'istituto.;Al direttore dell'istituto.;al Capo del Dipartimento dell'Amministrazione penitenziaria.;
143;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., avverso le ordinanze del Tribunale di sorveglianza l'interessato può proporre ricorso per cassazione per violazione di legge:;entro dieci giorni dalla comunicazione del provvedimento.;entro trenta giorni dalla comunicazione del provvedimento.;entro sessanta giorni dalla comunicazione del provvedimento.;entro quarantacinque giorni dalla comunicazione del provvedimento.;
144;Ai sensi della L. n. 354/1975 e ss.mm.ii., il provvedimento di ammissione al lavoro all'esterno dei condannati e internati è approvato:;dal Magistrato di sorveglianza.;dal Consiglio di disciplina dell'istituto.;dall'Ufficio di esecuzione penale esterna.;dal Provveditore regionale dell'Amministrazione penitenziaria competente in relazione al luogo dell'esecuzione della misura.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
145;A norma della L. n. 354/1975 e ss.mm.ii., quale, tra i seguenti soggetti, non è membro della commissione che predispone il regolamento interno dell'istituto penitenziario?;Il Prefetto.;Il cappellano dell'istituto.;L' educatore Capo dell'istituto.;Il Magistrato di sorveglianza.;
146;La durata massima del regime di sorveglianza particolare, di cui all'art. 14-bis della L. n. 354/1975 e ss.mm.ii.:;è stabilita dalla stessa L. n. 354/1975.;è stabilita dal Magistrato di sorveglianza.;è stabilita dal Consiglio di disciplina dell'istituto.;è stabilita dal direttore dell'istituto.;
147;Il regime di sorveglianza particolare, di cui all'art. 14-bis della L. n. 354/1975 e ss.mm.ii., può essere disposto:;nei confronti di imputati, condannati e internati.;solamente nei confronti di condannati e imputati.;solamente nei confronti di condannati e internati.;solamente nei confronti di condannati.;
148;A norma dell'art. 30 della L. n. 354/1975 e ss.mm.ii., il detenuto che, senza giustificato motivo, non rientra in istituto alla scadenza del permesso concesso:;è punito in via disciplinare se l'assenza si protrae per oltre tre ore e per non più di dodici.;è punito, in ogni caso, in via disciplinare.;è punito, in ogni caso, ai sensi dell'art. 385 del codice penale.;è punito in via disciplinare se l'assenza si protrae per oltre un'ora e per non più di sei.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
149;A norma della L. n. 354/1975 e ss.mm.ii., qualora venga disposta con decreto motivato la provvisoria sospensione della misura alternativa, il provvedimento di sospensione perde efficacia:;se la decisione del Tribunale di sorveglianza non interviene entro trenta giorni dalla ricezione degli atti.;se la decisione del Tribunale di sorveglianza non interviene entro dieci giorni dalla ricezione degli atti.;se la decisione del Consiglio di disciplina dell'istituto non interviene entro dieci giorni dalla ricezione degli atti.;se la decisione del Provveditore regionale dell'Amministrazione penitenziaria non interviene entro trenta giorni dalla ricezione degli atti.;
150;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., alle madri detenute è consentito di tenere presso di sé i figli…;fino all'età di tre anni.;fino all'età di cinque anni.;fino all'età di due anni.;fino all'età di sei anni.;
151;In accordo alla disciplina dettata dalla L. n.354/1975 e ss.mm.ii., la Commissione che predispone il regolamento interno dell’istituto è presieduta:;dal Magistrato di sorveglianza.;dal Prefetto.;dal Comandante del Reparto.;dal Provveditore regionale dell'Amministrazione penitenziaria.;
152;A norma della L. n.354/1975 e ss.mm.ii., gli imputati possono essere assegnati al lavoro all’esterno?;Sì, previa autorizzazione dell’Autorità Giudiziaria competente.;No, mai.;Sì, previa autorizzazione del Comandante del Reparto.;Sì, previa autorizzazione del direttore dell'Ufficio interdistrettuale dell'esecuzione penale esterna competente in relazione al luogo dell'esecuzione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
153;A norma dalla L. n.354/1975 e ss.mm.ii. e con specifico riferimento alla disciplina dell'isolamento quale, tra le seguenti affermazioni, è corretta?;L'isolamento non preclude l'esercizio del diritto di effettuare colloqui visivi con i soggetti autorizzati.;Negli istituti penitenziari l'isolamento continuo è ammesso solamente quando è prescritto per ragioni sanitarie.;Non si può disporre l’isolamento continuo nei confronti degli indagati.;Le modalità di esecuzione dell'isolamento sono specificate con provvedimento del Magistrato di sorveglianza.;
154;A norma della L. n.354/1975 e ss.mm.ii., quale, tra le seguenti autorità, è competente a deliberare la sanzione dell’esclusione dalle attività in comune?;Il Consiglio di disciplina dell’istituto.;Il Magistrato di sorveglianza.;Il Tribunale di sorveglianza.;Il Comandante del Reparto, previo consenso del direttore dell'istituto;
155;Dopo quante ore dalla scadenza del permesso, di cui all'art. 30 della L. n. 354/1975 e ss.mm.ii., il detenuto che non rientra in istituto senza giustificato motivo è punibile ai sensi del primo comma dell’art. 385 del codice penale?;Dodici ore.;Diciotto ore.;Sei ore.;Ventiquattro ore.;
156;Dopo quante ore dalla scadenza del permesso, di cui all'art. 30 della L. n. 354/1975 e ss.mm.ii., l'internato non che rientra in istituto senza giustificato motivo è punito in via disciplinare?;Dopo tre ore dalla scadenza del permesso.;Dopo sei ore dalla scadenza del permesso.;Dopo dodici ore dalla scadenza del permesso.;Dopo otto ore dalla scadenza del permesso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
157;A norma della L. n. 354/1975 e ss.mm.ii., i detenuti e gli internati possono rivolgere istanze o reclami:;tra l'altro, al Presidente della giunta regionale.;orali o scritti, purché in busta aperta.;solamente scritti, purché in busta chiusa.;tra l'altro, al Presidente della Cassa delle ammende.;
158;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., i detenuti e gli internati possono rivolgere istanze o reclami:;ai garanti regionali o locali dei diritti dei detenuti.;tra l'altro, al Prefetto.;tra l'altro, al Consiglio di Stato.;tra l'altro, al Consiglio di aiuto sociale del luogo in cui ha sede l'istituto.;
159;A norma della L. n. 354/1975 e ss.mm.ii., i detenuti e gli internati non possono rivolgere istanze o reclami:;al Presidente del Consiglio dei ministri.;al Presidente della giunta regionale.;al Capo dello Stato.;al Garante nazionale dei diritti dei detenuti.;
160;“Il direttore dell'istituto informa anticipatamente il Magistrato di sorveglianza, il Questore e l'ufficio di polizia territorialmente competente di ogni dimissione anche temporanea dall'istituto”. Così come disposto dall’art.43 della L. n.354/1975 e ss.mm.ii., tale affermazione è:;corretta.;errata, poiché il direttore dell'istituto informa esclusivamente il Questore e l’Ufficio di polizia territorialmente competente.;errata, poiché il direttore informa esclusivamente il Magistrato di sorveglianza.;errata, poiché il direttore dell'istituto informa il Magistrato di sorveglianza, il Prefetto e il direttore dell'Ufficio interdistrettuale dell'esecuzione penale esterna.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
161;A norma della L. n. 354/1975 e ss.mm.ii., la misura del permesso premio può essere richiesta:;dai congiunti del condannato.;dai garanti regionali dei diritti dei detenuti.;dal Magistrato di sorveglianza.;dal Consiglio di aiuto sociale del luogo in cui ha sede l'istituto.;
162;A norma della L. n. 354/1975 e ss.mm.ii., la licenza al condannato ammesso al regime di semilibertà può essere richiesta:;dallo stesso condannato.;dal Magistrato di sorveglianza.;dal direttore dell'istituto.;dal direttore dell'Ufficio interdistrettuale dell'esecuzione penale esterna.;
163;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., la misura del permesso premio:;può essere richiesta da difensore del condannato.;può essere richiesta dal Tribunale di sorveglianza.;può essere richiesta dal Provveditore regionale.;deve essere richiesta dal Magistrato di sorveglianza.;
164;A norma della L. n. 354/1975 e ss.mm.ii., i ministri di culto possono accedere agli istituti penitenziari:;con l'autorizzazione del direttore dell'istituto.;con l'autorizzazione del Magistrato di sorveglianza.;con l'autorizzazione del Provveditore regionale dell'Amministrazione penitenziaria.;con l'autorizzazione del Prefetto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
165;A norma della L. n. 354/1975 e ss.mm.ii., la rappresentanza dei detenuti o degli internati che controlla la preparazione del vitto:;è designata mensilmente per sorteggio.;è designata semestralmente per sorteggio.;è designata mensilmente per nomina diretta.;è nominata semestralmente per nomina diretta.;
166;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., l'Amministrazione penitenziaria può autorizzare persone idonee all'assistenza e all'educazione a frequentare gli istituti penitenziari, su proposta:;del Magistrato di sorveglianza.;del Prefetto.;del Provveditore regionale dell'Amministrazione penitenziaria.;del Consiglio di aiuto sociale del luogo in cui ha sede l'istituto.;
167;A norma della L. n. 354/1975 e ss.mm.ii., gli uffici locali di esecuzione penale esterna dipendono:;dal Ministero della giustizia.;da ciascuna circoscrizione territoriale di sezione distaccata di Corte d'appello.;dal Tribunale di sorveglianza competente in relazione al luogo dell'esecuzione.;dal Provveditorato regionale dell'Amministrazione penitenziaria territorialmente competente.;
168;A norma della L. n. 354/1975 e ss.mm.ii., la sanzione della esclusione dalle attività in comune non può essere eseguita senza:;la certificazione scritta, rilasciata dal sanitario, attestante che il soggetto può sopportarla.;il parere favorevole dell’educatore.;preventiva comunicazione al Provveditore regionale dell'Amministrazione penitenziaria.;preventiva comunicazione al Magistrato di sorveglianza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
169;“L'esecuzione delle sanzioni può essere condizionalmente sospesa, per il termine di tre mesi, allorché si presuma che il responsabile si asterrà dal commettere ulteriori infrazioni”. A norma dell’art. 80 del D.P.R. n. 230/2000 e ss.mm.ii., relativo alle sanzioni disciplinari sono inflitte ai detenuti e agli internati, tale affermazione è:;errata, perché il tempo di sospensione è di sei mesi.;corretta.;errata, perché il tempo di sospensione è di un mese.;errata, perché l'esecuzione delle sanzioni non può essere mai condizionalmente sospesa.;
170;"""Per procedere a perquisizione fuori dei casi ordinari è necessario l'ordine del Tribunale di sorveglianza."" Secondo il disposto dell'art. 74 del D.P.R. n. 230/2000 e ss.mm.ii., tale affermazione è:";errata, poiché è necessario l'ordine del direttore dell'istituto.;corretta.;errata, poiché è necessario l'ordine del Magistrato di sorveglianza.;errata, poiché è necessario l'ordine del Provveditore regionale dell'Amministrazione penitenziaria.;
171;A norma della D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti organi, può disporre, con provvedimento motivato, la sospensione immediata dell'efficacia del provvedimento di ammissione al lavoro all'esterno?;Il direttore dell'istituto.;Il Magistrato di sorveglianza.;Il Tribunale di sorveglianza.;Il Provveditore regionale dell'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
172;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., il direttore dell'istituto può disporre, con provvedimento motivato, la sospensione dell'efficacia dell'ammissione al lavoro all'esterno, in attesa della approvazione del provvedimento di revoca da parte:;del Magistrato di sorveglianza.;dal Capo del Dipartimento dell'Amministrazione penitenziaria.;del Provveditore regionale dell'Amministrazione penitenziaria.;del Consiglio di disciplina dell'istituto.;
173;A norma del D.P.R. n. 230/2000 e ss.mm.ii., può essere ammesso l'uso di personal computer anche nella camera di pernottamento del detenuto?;Sì, per motivi di studio o di lavoro, previa autorizzazione del direttore dell'istituto.;Sì, per motivi di studio o di lavoro, previa autorizzazione del Magistrato di sorveglianza.;Sì, per motivi di studio o di lavoro, previa autorizzazione del Comandante del reparto.;No, in nessun caso.;
174;"""Il Provveditore regionale dell'Amministrazione penitenziaria, può autorizzare l'uso, anche nella camera di pernottamento, di personal computer per motivi di lavoro o di studio."" Secondo quanto previsto dall'art. 40 del D.P.R. n. 230/2000 e ss.mm.ii., tale affermazione è:";errata, poiché è il direttore dell'istituto che può fornire tale autorizzazione.;corretta.;errata, poiché è il Magistrato di sorveglianza che può fornire tale autorizzazione.;errata, poiché è il Gruppo di Osservazione e Trattamento (G.O.T.) che può fornire tale autorizzazione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
175;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., il regolamento interno degli istituti penitenziari non disciplina:;i requisiti per accedere alle misure alternative alla detenzione.;gli orari, i turni e le modalità di permanenza all'aperto.;le affissioni consentite.;gli orari di permanenza nei locali comuni.;
176;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., il regolamento interno degli istituti penitenziari disciplina, tra l'altro:;gli orari di apertura e di chiusura degli istituti.;i requisiti per accedere alle misure alternative alla detenzione.;i requisiti di professionalità degli educatori degli assistenti sociali e dei mediatori che operano all'interno degli istituti.;le modalità di esecuzione dei permessi premio.;
177;A norma del D.P.R. n. 230/2000 e ss.mm.ii., i permessi concessi al detenuto per eventi familiari di particolare gravità, hanno una durata massima:;di cinque giorni, oltre al tempo necessario per raggiungere il luogo dove il detenuto o l'internato deve recarsi.;di tre giorni, oltre al tempo necessario per raggiungere il luogo dove il detenuto o l'internato deve recarsi.;di quarantotto ore.;di quattro giorni.;
178;Le attività di osservazione scientifica della personalità del detenuto, di cui all'art. 28 del D.P.R. n. 230/2000 e ss.mm.ii., si svolgono sotto la responsabilità:;del direttore dell'istituto.;del Capo educatore dell'istituto.;del Provveditore regionale dell'Amministrazione penitenziaria.;del Magistrato di sorveglianza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
179;La compilazione del programma individualizzato di trattamento, di cui all'art. 29 del D.P.R. n. 230/2000 e ss.mm.ii. è effettuata:;da un gruppo di osservazione e trattamento presieduto dal direttore dell’istituto.;da un gruppo di osservazione e trattamento presieduto dal Magistrato di sorveglianza.;dal Capo educatore dell'istituto.;dal Consiglio di disciplina dell'istituto.;
180;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., è consentito ai detenuti e agli internati che lo desiderino esporre, nella propria camera individuale o nel proprio spazio di appartenenza nella camera a più posti, immagini e simboli della propria confessione religiosa?;Sì, come espressamente previsto dalla medesima normativa.;No.;Sì, previa autorizzazione del Consiglio di disciplina dell'istituto.;Sì, previa autorizzazione del Magistrato di sorveglianza.;
181;"Così come specificato dal D.P.R. n. 230/2000 e ss.mm.ii., i detenuti e gli internati, che abbiano un comportamento che richieda particolari cautele, anche per la tutela dei compagni da possibili aggressioni o sopraffazioni, sono assegnati ad appositi istituti o sezioni dove sia più agevole adottare le suddette cautele; la permanenza dei motivi cautelari viene verificata:";semestralmente.;annualmente.;mensilmente.;trimestralmente.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
182;A norma del D.P.R. n. 230/2000 e ss.mm.ii., qualora il Dipartimento dell'Amministrazione penitenziaria, ritenga di prorogare la sottoposizione al regime di sorveglianza particolare di un detenuto o di un internato, richiede al direttore dell'istituto la convocazione del Consiglio di disciplina integrato da due esperti ex art. 80 della L. n. 354/1975, affinché quest'ultimo esprima il proprio parere nel termine:;di dieci giorni.;di trenta giorni.;di sette giorni.;di quarantacinque giorni.;
183;Ai sensi del D.P.R. n. 230/2000 e ss.mm.ii., i colloqui dei condannati, degli internati e quelli degli imputati dopo la pronuncia della sentenza di primo grado sono autorizzati:;dal direttore dell'istituto.;dal Magistrato di sorveglianza.;dal Collegio di disciplina dell'istituto.;dal Magistrato di sorveglianza, previo parere favorevole del direttore dell'istituto.;
184;"Così come disposto dall'art. 39 (""Corrispondenza telefonica"") del D.P.R. n. 230/2000 e ss.mm.ii., la durata massima di ciascuna conversazione telefonica del detenuto:";è di dieci minuti.;è di quindici minuti.;è di venti minuti.;è di cinque minuti.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
185;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., l'ammissione degli imputati al lavoro all'esterno, disposta dalle direzioni degli istituti su autorizzazione della competente autorità giudiziaria, è comunicata:;al Magistrato di sorveglianza.;al Provveditore regionale dell'Amministrazione penitenziaria.;al Centro di servizio sociale competente in relazione al luogo dell'esecuzione.;al Prefetto.;
186;"""Il Provveditore regionale impartisce disposizioni alle direzioni degli istituti dipendenti per favorire la piena occupazione dei posti di lavoro disponibili all'esterno"". Secondo quanto specificato dall'art. 48 del D.P.R. n.230/2000 e ss.mm.ii., tale affermazione è:";corretta.;errata, poiché è il Capo dell'Amministrazione penitenziaria che impartisce tali disposizioni.;errata, poiché è il Ministro della giustizia che impartisce tali disposizioni.;errata, poiché è il Prefetto territorialmente competente che impartisce tali disposizioni.;
187;A norma del D.P.R. n. 230/2000 e ss.mm.ii., la direzione dell'istituto trasmette copia del provvedimento di ammissione al lavoro all'esterno del detenuto:;al Dipartimento dell'Amministrazione penitenziaria, al Provveditore regionale ed al direttore del centro di servizio sociale.;al Dipartimento dell'Amministrazione penitenziaria, al Provveditore regionale e al Magistrato di sorveglianza.;al Dipartimento dell'Amministrazione penitenziaria, al Magistrato di sorveglianza e al Prefetto del luogo dove la misura deve essere eseguita.;esclusivamente al Dipartimento dell'Amministrazione penitenziaria e al Provveditore regionale.;
