N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
130;Nell'ambito delle norme del c.p.p., se vi è dubbio sull’esistenza della prova che il fatto è stato commesso in presenza di una causa di giustificazione o di una causa personale di non punibilità:;il giudice pronuncia sentenza di assoluzione.;il giudice pronuncia sentenza di condanna, salvo ricorso su istanza di parte.;il giudice dichiara l'improcedibilità del processo.;il giudice sospende il processo ed avvia le indagini volte alla definizione della fattispecie.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
131;I termini perentori, previsti dal c.p.p., sono quelli:;stabiliti a pena di decadenza.;stabiliti a pena di inutilizzabilità.;stabiliti a pena di nullità.;la cui violazione non comporta alcuna conseguenza processuale apprezzabile, al di là della mera irregolarità dell'atto.
132;Le nullità assolute, in base alle norme del c.p.p., si caratterizzano perché:;sono rilevabili anche d'ufficio in ogni stato e grado del procedimento.;sono rilevabili anche d'ufficio ma entro determinati limiti di tempo.;riguardano violazioni di diritti che la Costituzione riconosce come inviolabili.;sono rilevabili dal pubblico ministero e dal difensore dell'imputato, con esclusione dai difensori delle altre parti private.
133;L'informazione di garanzia, secondo quanto disposto dalle disposizioni del c.p.p., viene inviata:;quando deve compiersi un atto al quale il difensore ha il diritto di assistere.;al momento dell'iscrizione del nome della persona sottoposta alle indagini nel registro delle notizie di reato.;non prima della formulazione dell'imputazione.;quando il pubblico ministero chiede al giudice per le indagini preliminari di essere autorizzato a compiere atti di intercettazione telefonica.
134;La richiesta di incidente probatorio può essere presentata, ai sensi del c.p.p.:;dal pubblico ministero e dalla persona sottoposta alle indagini.;dalle parti private diverse dall'imputato.;solo dal pubblico ministero;dalle parti private e dalla persona offesa dal reato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
135;La richiesta di archiviazione per infondatezza della notizia di reato è proponibile, con riguardo alle norme del c.p.p., se:;il PM ritiene, sulla base degli elementi acquisiti, di non essere in grado di sostenere l'accusa in giudizio.;il PM ritiene di non poter ottenere in giudizio una sentenza di condanna a pena detentiva.;il PM ha acquisito la prova della assoluta estraneità ai fatti della persona sottoposta alle indagini.;il PM ritiene che il reato è estinto.
136;All'udienza preliminare, secondo le previsioni del c.p.p. la partecipazione del pubblico ministero e del difensore è:;necessaria.;facoltativa.;facoltativa per il pubblico ministero, necessaria per il difensore.;facoltativa, salvo che si proceda per taluno dei delitti indicati nell'art. 51, comma 3bis, c. p. p.
137;In ambito processuale penale, se le prove acquisite non consentono la liquidazione del danno, in conformità all'art. 529 c.p.p. il giudice:;pronuncia condanna generica e rimette le parti davanti al giudice civile.;pronuncia condanna al pagamento di una somma pari alla liquidazione del danno secondo equità.;nomina un CTU.;pronuncia condanna senza pagamento essendo indeterminato l'ammontare del danno.
138;Se il fatto non sussiste, l'imputato non lo ha commesso, il fatto non costituisce reato o il soggetto non è imputabile o non è punibile per altra causa, il giudice dell'udienza preliminare in base alle norme del c.p.p.:;pronuncia sentenza di non luogo a procedere.;lo assolve con formula piena.;pronuncia sentenza di non luogo a procedere, sempre che tali conclusioni siano sorrette dal requisito dell'evidenza.;su richiesta dell'imputato pronuncia ugualmente decreto che dispone il giudizio, onde consentire all'imputato stesso una assoluzione dibattimentale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
139;Al termine dell'udienza preliminare, qualora questa si sia conclusa con l'emissione del decreto che dispone il giudizio, ai sensi delle norme del c.p.p., il fascicolo per il dibattimento è formato:;dal giudice dell'udienza preliminare, in udienza dopo il rinvio a giudizio.;dal pubblico ministero.;dalla cancelleria del giudice dell'udienza preliminare, secondo le prescrizioni del giudice medesimo.;dal giudice del dibattimento, almeno venti giorni prima dell'udienza dibattimentale.
140;Nel fascicolo degli atti destinati al dibattimento, in conformità alle previsioni del c.p.p., vanno inserite le dichiarazioni non più ripetibili rese al P.M. o alla P.G.?;Sì, trattandosi di atti irripetibili.;Sì, se lo ha chiesto la parte.;Dipende dalla circostanza se sia stata o meno accertata l'irripetibilità.;Sì, se lo ha chiesto il P.M.
141;Nel caso di conversione del giudizio direttissimo in abbreviato, richiesto ai sensi del c.p.p., il giudice:;è tenuto a decidere allo stato degli atti, salvo che l'imputato non abbia condizionato la richiesta all'acquisizione di ulteriori prove.;può, col consenso delle parti, acquisire nuovi elementi di prove.;può disporre d'ufficio l'assunzione di nuovi mezzi di prova.;può indicare alle parti temi nuovi o incompleti su cui è necessario assumere ulteriori informazioni ai fini della decisione.
142;In base al c.p.p., il giudizio abbreviato c.d. tipico si svolge:;in sede di udienza preliminare.;in dibattimento.;nel corso delle indagini preliminari.;nel corso del dibattimento di primo grado o di appello, eccettuato il giudizio di cassazione.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
143;In virtù delle previsioni del c.p.p., la richiesta di giudizio abbreviato è proposta:;dall'imputato, personalmente o a mezzo di procuratore speciale.;dal difensore.;dalla persona sottoposta alle indagini o dal suo difensore.;dall'imputato o dal pubblico ministero.
144;Il consenso del P.M. rispetto alla richiesta di giudizio abbreviato dell'imputato, previsto dal c.p.p.:;non è necessario.;è necessario, ma non deve essere motivato.;è necessario, ma non può essere motivato.;è necessario sia il consenso del P.M. che quello della persona offesa.
145;Il giudizio immediato, secondo quanto previsto dal c.p.p., si celebra:;in dibattimento.;nel corso dell'udienza preliminare.;nel corso di un'udienza in camere di consiglio, fissata dal giudice su richiesta del pubblico ministero.;in sede di atti preliminari al dibattimento.
146;La sentenza che applica la pena su richiesta delle parti ex art. 444 c.p.p.:;deve essere motivata, pur in rapporto alle peculiarità del meccanismo del patteggiamento.;deve essere dettagliatamente motivata.;non deve essere motivata, essendo sufficiente il riferimento agli artt. 444 ss. c.p.p.;deve essere motivata solo il giudice si discosti dal quantum di pena richiesto dalle parti.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
147;"Nel corso delle indagini preliminari, il ""patteggiamento"" previsto dall'art. 444 c.p.p. è:";ammissibile, e la richiesta deve essere redatta per iscritto e depositata nella cancelleria del GIP.;inammissibile, potendo la relativa essere avanzata dopo l'esercizio dell'azione penale.;di norma ammissibile, salvo che non si proceda per delitti di criminalità organizzata.;ammissibile solo se la persona offesa dal reato sia già stata individuata.
148;La sentenza con cui il giudice applica una pena patteggiata è, in virtù delle norme del c.p.p.:;ricorribile per cassazione.;ordinariamente appellabile.;inoppugnabile.;reclamabile avanti al c. d. tribunale della libertà.
149;Per accertare la presenza, sulla persona o nei luoghi, del corpo del reato, il c.p.p. prevede che si proceda a:;perquisizione.;perizia.;sopralluogo.;ispezione.
150;Nel caso di giudizio immediato a richiesta dell'imputato, ai sensi dell'art. 455 c.p.p. il giudice:;è tenuto a disporre il giudizio immediato.;accoglie la richiesta se la prova appare evidente.;accoglie la richiesta se vi è il consenso del pubblico ministero.;dispone il giudizio immediato dopo l'interrogatorio dell'imputato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
151;Il provvedimento con cui il G.I.P. dispone, su richiesta del P.M. ai sensi del c.p.p., il giudizio immediato è;inoppugnabile.;appellabile dall'imputato.;ricorribile per cassazione per violazione di legge.;reclamabile al tribunale del riesame.
152;La sentenza di c.d. proscioglimento anticipato (ossia prima del dibattimento), prevista dagli articoli del c.p.p., è:;inappellabile.;inoppugnabile.;appellabile solo per ragioni di diritto.;appellabile solo dal pubblico ministero.
153;Cosa accade, secondo le norme del c.p.p., se il giudice erroneamente nega il privilegio contro l'autoincriminazione e costringe il teste a rispondere?;Le dichiarazioni rese dal teste sono inutilizzabili perché il giudice ha violato un divieto probatorio.;Il giudice deve immediatamente invitare il teste a nominare un difensore di fiducia per le dichiarazioni rese.;Il giudice deve immediatamente disporre l'avvio delle indagini per le dichiarazioni rese dal teste.;Le dichiarazioni rese dal teste sono utilizzate nel processo ed acquisite come valide ai fini istruttori dello stesso.
154;La testimonianza di soggetto minorenne ai sensi dell'art. 499 c.p.p.:;è di regola acquisita mediante domande poste direttamente dal presidente anche su sollecitazione delle parti.;è vietata in quanto inattendibile.;è acquisita alla stregua di qualunque altra testimonianza.;è sempre acquisita a porte chiuse, nell'interesse del minore.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
155;Il controesame è condotto, secondo le norme del c.p.p.;Dalle parti che non hanno chiesto l'esame.;Dal presidente del collegio.;Dalla parte civile.;Dal pubblico ministero.
156;Le domande suggestive, ex art. 499 c.p.p., sono:;quelle che tendono a suggerire le risposte.;quelle che attengono a fatti della vita privata del teste, come tali irrilevanti ai fini del processo.;quelle formulate in modo eccessivamente ricercato, sì da risultare non facilmente comprensibili.;quelle che contengono una velata minaccia.
157;Ai fini delle contestazioni nel corso dell'esame, in conformità alle previsioni del c.p.p., possono utilizzarsi:;le dichiarazioni precedentemente rese dallo stesso soggetto, purché sui fatti e sulle circostanze da contestare il teste abbia già deposto.;le dichiarazioni rese da altro soggetto nel corso dell’incidente probatorio.;ogni dichiarazione, da chiunque precedentemente resa, purché sui fatti e sulle circostanze da contestare il testimone abbia già deposto.;solo gli atti contenuti nel fascicolo per il dibattimento.
158;l'esame della parte civile è consentito, ex art. 208 c.p.p.:;se la parte civile non deve essere sentita come teste.;se l'imputato e il pubblico ministero li consentono.;se il giudice li ritiene assolutamente necessario.;se è stato citato il responsabile civile.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
159;"Con riferimento alle disposizioni del c.p.p. in materia di polizia giudiziaria, si intende per ""Sezioni di polizia giudiziaria"":";gli organi costituiti presso gli uffici del pubblico ministero di primo grado, composti da ufficiali ed agenti che svolgono in via esclusiva le funzioni di polizia giudiziaria.;gli organi costituiti presso gli uffici del magistrato di sorveglianza, composti da ufficiali ed agenti che svolgono in via esclusiva le funzioni di polizia giudiziaria.;gli organi costituiti presso gli uffici del procuratore generale della Repubblica, composti da ufficiali ed agenti che svolgono in via esclusiva le funzioni di polizia giudiziaria.;gli organi costituiti presso gli uffici del pubblico ministero di primo grado, esclusivamente composti da agenti che svolgono in via esclusiva le funzioni di polizia giudiziaria.
160;Il Giudice può disporre d'ufficio nuovi mezzi di prova:;al termine dell'istruzione probatoria, se risulti assolutamente necessario.;in sede di atti preliminari al dibattimento, se ritiene insufficienti le prove richieste dalle parti.;nel corso del dibattimento, se risulta utile ai fini dell'accertamento del fatto.;al termine dell'assunzione delle prove a carico, se ritiene meritevoli di approfondimento temi di prova non adeguatamente esplorati.
161;Alla chiusura dell'istruzione dibattimentale segue:;la discussione finale.;la deliberazione della sentenza.;l'esame delle parti private.;le letture in dibattimento.
162;La motivazione della sentenza è prescritta:;sempre.;se si tratta di sentenza assoluzione.;sempre, salvo che si tratti di sentenza di proscioglimento perché il fatto non è previsto dalla legge come reato.;in particolar modo se l'imputato sia contumace.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
163;Nel nostro ordinamento processuale, il pretore:;è stato soppresso.;è giudice di primo grado.;è l'unico giudice di primo grado, essendo stato abolito il Tribunale.;è stato soppresso nel processo civile, ma mantenuto nel processo penale.
164;Sulla richiesta di patteggiamento avanzata dalle parti durante il rito minorile, il G.U.P:;dichiara inammissibile la richiesta, in quanto il patteggiamento non è ammesso nel processo minorile.;respinge la richiesta, qualora i componenti non togati dall'organo collegiale abbiano espresso parere sfavorevole.;provvede a norma degli artt., 444 ss. c. p.p.;pur dichiarando inaccoglibile la richiesta si riserva di concedere la diminuzione di pena a carico del reo, nella misura stabilita dall'art. 444 c.p.p.
165;Il procedimento per decreto, in ambito minorile:;non è fruibile in nessun caso.;è sempre utilizzabile.;può essere adottato dal giudice, ma soltanto previo assenso dell'imputato, richiesto, a differenza di quanto comunemente previsto per tale rito, in ragione della sua minore età.;può essere applicato, soltanto dopo che i componenti non togati del collegio giudicante abbiano espresso parere favorevole.
166;Secondo il principio di tassatività delle impugnazioni:;possono impugnare solo i soggetti legittimati dalla legge, avverso i provvedimenti dichiarati impugnabili e con il mezzo espressamente previsto.;il difensore dell'imputato non può proporre impugnazione se non munito di mandato speciale.;legittimati ad impugnare sono soltanto l'imputato e il pubblico ministero.;sono impugnabili solo le sentenze espressamente previste dalla legge.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
167;Nel caso in cui vi sia connessione tra i procedimenti per i quali è prevista la citazione diretta e quelli per i quali deve farsi luogo ad udienza preliminare, il P.M. ai sensi dell'art. 551 c.p.p.:;presenta per tutti la richiesta di rinvio a giudizio.;deve procedere nelle forme specifiche previste per i singoli procedimenti, nulla rilevando la connessione tra gli stessi.;ha facoltà di procedere nelle forme specifiche previste per i singoli procedimenti, tenendo in debito conto la connessione tra gli stessi.;ha facoltà di presentare per tutti la richiesta di rinvio a giudizio.
168;L'interesse ad impugnare, secondo le norme del c.p.p., deriva:;dalla situazione di svantaggio derivante dal provvedimento che si impugna.;dalla espressa previsione della legge.;dai motivi presentati a sostegno dell'impugnazione.;dall'ordinanza con cui il giudice dell'impugnazione decide sull'ammissibilità della stessa.
169;La persona offesa per reati di ingiuria e di diffamazione, se costituita parte civile, in base alle norme del c.p.p. può proporre impugnazione:;anche per gli effetti penali.;limitatamente agli effetti civili.;sempre che sia stata pronunciata sentenza di condanna a pena condizionalmente sospesa.;non può proporre impugnazione.
170;L'appello incidentale è proponibile, con riferimento alle norme del c.p.p.:;dalle parti che non abbiano proposto l'appello principale.;dall'imputato.;dal pubblico ministero.;dal pubblico ministero e dall'imputato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
171;Ai sensi delle disposizioni del c.p.p., il divieto della reformatio in peius vige:;nell'ipotesi di appello del solo imputato.;in ogni caso di appello.;se si tratti di contravvenzioni.;qualora il pubblico ministero ne abbia fatto apposita istanza.
172;In sede di appello penale, l'acquisizione di nuove prove disciplinata dall'art. 603 c.p.p.:;è consentita solo nelle ipotesi di rinnovazione dell'istruzione dibattimentale stabilite dalla legge.;è ordinariamente consentita, dato che nel giudizio di appello deve svolgersi una nuova istruzione probatoria, per la quale valgono le ordinarie regole di ammissione della prova stabilite per il procedimento di primo grado.;è impossibile, perché per tale via si estenderebbe il tema del giudizio.;è consentita su accordo delle parti.
173;La Corte di cassazione, ai sensi della disciplina prevista dal c.p.p., pronuncia annullamento con rinvio:;quando si rende necessario, a seguito dell'accoglienza (anche parziale) del ricorso, un nuovo esame di merito.;nei casi tassativamente elencati dalla legge.;quando ne faccia richiesta il ricorrente.;se la sentenza annullata sia stata emessa da un giudice di secondo grado.
174;Il giudizio di revisione regolato dal c.p.p. è ammissibile:;nei confronti delle sentenze di condanna già passate in giudicato e dei decreti penali di condanna divenuti irrevocabili.;in ordine alle sentenze, di condanna o di assoluzione, già passate in giudicato.;nei confronti delle sentenze di assoluzione o di non luogo a procedere avverso le quali non è più proponibile alcuna impugnazione ordinaria.;nei confronti delle sentenze di condanna, sempre che la pena sia già stata interamente eseguita.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
175;L'impugnazione proposta fuori dai termini previsti dal c.p.p. è:;inammissibile.;improcedibile.;nulla.;inutilizzabile.
176;È legittimato, secondo le previsioni del c.p.p., ad esercitare l'azione civile nel processo penale il soggetto:;"al quale il reato ha recato danno, ovvero i suoi successori universali; colui che sia stato civilmente danneggiato, indipendentemente dalla circostanza che questi sia anche persona offesa dal reato.";"al quale il reato ha recato danno, ovvero i suoi successori universali; colui che sia stato civilmente danneggiato, esclusivamente nel caso in cui questi sia anche persona offesa dal reato.";esclusivamente il soggetto che sia persona offesa dal reato, ovvero i suoi successori universali.;esclusivamente il soggetto che sia persona offesa dal reato, e mai i suoi successori universali, trattandosi di un diritto non trasferibile morti causa.
177;L'effetto sospensivo fuori termine, collegato alle impugnazioni previste dal c.p.p., fa in modo che:;gli effetti del provvedimento impugnato sono sospesi di diritto durante i termini per proporre impugnazione e per tutta la durata del giudizio di impugnazione.;l'impugnante può chiedere al giudice a quo che, valutato il fumus boni iuris dell'impugnazione, sospenda gli effetti del provvedimento impugnato.;gli effetti della sentenza impugnata possono essere sospesi con apposito provvedimento del giudice ad quem.;il deposito dell'atto di impugnazione sospende la validità del provvedimento impugnato, salva l'eventuale pronuncia contraria del giudice ad quem.
178;Nell'udienza preliminare prevista dall'art. 419 c.p.p.:;si decide l’archiviazione o il rinvio a giudizio.;si esercita l’azione penale.;si decide esclusivamente sulla richiesta di archiviazione.;si decide sulla richiesta di archiviazione, sul rinvio a giudizio o sull’incidente probatorio.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
179;Quale dei seguenti atti può essere compiuto dagli ufficiali ed agenti di polizia giudiziaria di propria iniziativa?;Compiere gli atti necessari per assicurare le fonti di prova.;Rimozione e riapposizione dei sigilli.;Notificazione di atti.;Interrogatori.
180;Quale dei seguenti atti è di esclusiva competenza dell'autorità giudiziaria?;Decreto di sequestro presso banche.;Arresto obbligatorio in flagranza.;Prendere notizia dei reati.;Arresto di chiunque è colto in flagranza di un delitto non colposo consumato o tentato per il quale la legge stabilisce l'ergastolo o la reclusione non inferiore nel minimo a cinque anni e nel massimo a venti anni.).
181;Il codice di procedura penale stabilisce che, fra la data del deposito della richiesta di rinvio a giudizio e la data dell’udienza in camera di consiglio, non devono intercorrere più di:;30 giorni.;10 giorni.;45 giorni.;15 giorni.
182;L'art. 382 c.p.p. stabilisce i casi di flagranza di reato. Quale delle seguenti affermazione corrisponde ai casi previsti dal suddetto articolo?;É in stato di flagranza di reato chi subito dopo il reato, è sorpreso con cose dalle quali appaia che egli abbia commesso il reato immediatamente prima.;É in stato di flagranza di reato chi entro trenta minuti dal reato si trova nelle immediate vicinanze del luogo ove il reato è stato consumato.;É in stato di flagranza di reato chi è sorpreso, entro 24 ore dal reato, con cose dal cui esame non possa escludersi l'esistenza di una relazione con il reato stesso.;É in stato di flagranza di reato chi è sorpreso entro 12 ore dal reato, con cose o tracce dalle quali appaia che egli abbia commesso il reato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
183;In ambito processuale penale, il principio di tassatività previsto dall'art. 568 c.p.p. afferma che:;un provvedimento del giudice è impugnabile soltanto quando la legge lo consente e con il mezzo dalla stessa determinato.;un provvedimento del giudice è sempre impugnabile.;un provvedimento del giudice non è mai impugnabile.;non sono mai soggetti a ricorso per cassazione i provvedimenti con i quali il giudice decide sulla libertà personale.
184;Il principio di adeguatezza, quale criterio di scelta della misura da adottare nel caso concreto ai sensi del c.p.p., comporta che:;la misura deve essere individuata con riguardo alla propria specifica idoneità in relazione alla natura e al grado delle esigenze cautelari da soddisfare nel caso concreto.;la misura deve essere adeguata alla gravità degli indizi di colpevolezza raccolti.;la misura deve essere adeguata alla gravità del reato per il quale si procede.;la misura deve essere adeguata alla personalità criminale del soggetto.
185;La competenza a disporre le misure cautelari, previste dal c.p.p., è attribuita:;al giudice, su richiesta del pubblico ministero.;al giudice, il quale può applicarla d'ufficio.;al pubblico ministero.;al magistrato di sorveglianza.
186;Il giudice per le indagini preliminari, in conformità alle norme del c.p.p.:;interviene nei casi previsti dalla legge, su richiesta del pubblico ministero, della persona sottoposta alle indagini, del difensore e della persona offesa dal reato.;acquisisce le prove a carico su richiesta del pubblico ministero.;verifica i presupposti di legge al fine di disporre l'interrogatorio della persona sottoposta alle indagini.;autorizza il pubblico ministero, su richiesta di questi, al compimento di ciascun atto di indagine.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
187;Nel corso delle indagini preliminari, secondo le norme del c.p.p. la misura cautelare è disposta:;dal giudice per le indagini preliminari, sempre su richiesta del pubblico ministero.;dal giudice per le indagini preliminari, anche d'ufficio.;dal giudice dell'udienza preliminare, su richiesta del pubblico ministero.;dal pubblico ministero.
188;L'estinzione della custodia cautelare, stabilita in base alle norme del c.p.p., per omesso interrogatorio si verifica quando:;il giudice per le indagini preliminari non abbia proceduto all'interrogatorio nei cinque giorni successivi all'inizio dell'esecuzione della custodia.;la persona sottoposta a custodia si sia avvalsa, nel corso dell'interrogatorio, del diritto di non rispondere.;il pubblico ministero non ha interrogato la persona nei confronti è stata disposta la custodia.;la persona sottoposta alle indagini si sia resa irreperibile e non sia, pertanto, stato possibile precedere all'interrogatorio.
189;La richiesta di riesame, secondo le disposizioni del c.p.p., è proponibile dall'imputato avverso:;le ordinanze che dispongono una misura coercitiva.;le ordinanze che dispongono una misura cautelare personale.;le ordinanze che dispongono una misura interdittiva.;le ordinanze pronunciate dal c. d. tribunale della libertà.
190;Avverso provvedimenti pronunciati in prima istanza dal giudice in materia di libertà personale, il pubblico ministero può proporre:;appello.;richiesta di riesame.;ricorre per cassazione omisso medio.;opposizione.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
191;Il sequestro conservativo, in conformità alle disposizioni del c.p.p., giova:;al pubblico ministero e alla parte civile.;al responsabile civile.;all'imputato.;al civilmente obbligato per la multa o l'ammenda.
192;Il sequestro preventivo è ordinariamente disposto:;dal giudice, su richiesta del pubblico ministero.;dal pubblico ministero.;dal giudice, su richiesta della persona offesa dal reato.;dal giudice, su richiesta della persona sottoposta alle indagini che abbia la disponibilità del bene.
193;La Corte di appello, quando pronuncia il riconoscimento ai fini dell’esecuzione di una sentenza straniera, in base all'art. 735 c.p.p. provvede:;a sostituire la pena originariamente inflitta con la corrispondente sanzione prevista, per lo stesso fatto, dalla legislazione italiana.;a riconoscere, così come inflitta, la sanzione inflitta dalla sentenza straniera.;ad applicare il massimo della pena prevista dalla legislazione italiana per lo stesso fatto.;ad applicare il minimo della pena prevista dalla legislazione italiana per lo stesso fatto.
194;Avverso il decreto di sequestro è possibile, secondo il c.p.p., proporre:;richiesta di riesame.;ricorso immediato per cassazione.;opposizione.;istanza di revisione.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
195;I risultati delle intercettazioni, in conformità alle previsioni del c.p.p., possono essere utilizzati in altri procedimenti:;se i risultati delle intercettazioni siano indispensabili per l'accertamento di delitti per i quali è obbligatorio l'arresto in flagranza.;se il giudice lo ritiene assolutamente necessario.;se l'utilizzazione sia autorizzata dal Procuratore Nazionale Antimafia.;se il procedimento nel corso del quale si è disposta l'intercettazione si è già concluso con sentenza irrevocabile.
196;L'art. 274 c.p.p. fissa le esigenze che legittimano l'emissione di una misura cautelare, le quali:;sono alternative, sicché è sufficiente l'esistenza di una sola di esse per consentire l'emissione del provvedimento cautelare.;devono contemporaneamente coesistere, altrimenti la misura non può essere disposta.;devono di regola coesistere, salvo che il reato ipotizzato sia particolarmente grave.;almeno due devono coesistere.
197;L'art. 273 c. p. p. stabilisce che nessuno può essere sottoposto a misure cautelari se a suo carico non sussistono gravi indizi di colpevolezza. Ciò significa:;che sono necessari elementi che inducano fondamentalmente a ritenere che il reato accertato sia attribuibile all'imputato.;che è sufficiente il semplice sospetto che l'imputato (o la persona sottoposta alle indagini) possa aver commesso il fatto.;che occorre che si provata, al di là di ogni dubbio ragionevole, la responsabilità penale del soggetto.;che è indispensabile la sussistenza di almeno una prova di carattere reale.
198;"In materia processuale penale, cosa s'intende per ""inutilizzabilità patologica"" prevista dall'art. 191 c.p.p.?";Il vizio che colpisce le prove assunte in violazione dei divieti stabiliti dalla legge processuale.;Il vizio che colpisce le prove acquisite prima del dibattimento.;La sentenza pronunciata contro un imputato totalmente incapace perché coperto da immunità.;La sentenza emessa in carenza di potere giurisdizionale del Giudice.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
199;Nell'ipotesi di testimonianza indiretta prevista dal c.p.p. (quando, cioè, un teste riferisce di avere appreso un fatto, dato o circostanza, non direttamente, ma da un altro soggetto), il giudice:;deve, su richiesta di parte, disporre che il c.d. teste de relato (ossia l'altro soggetto) sia chiamato a deporre.;può valutare la dichiarazione indiretta solo se esistono altri elementi di riscontro.;disporre la cancellazione della dichiarazione indiretta dal verbale di udienza, attestandone la inutilizzabilità.;può utilizzare la dichiarazione indiretta solo se si procede per reati di criminalità organizzata.
200;Competente, secondo il c.p.p., a confermare il segreto di stato è:;il Presidente del Consiglio dei Ministri.;il Ministero dell'Interno.;la Corte costituzionale.;il Presidente della Repubblica, sentiti i Presidenti delle due Camere.
201;Il confronto, in base alle norme del c.p.p., può essere disposto quando:;sussiste disaccordo, tra persone già esaminate o interrogate, su fatti e circostanze importanti.;il giudice ritiene che due o più testimoni, di cui le parti abbiano chiesto e ottenuto l'ammissione, verosimilmente offriranno versioni diverse degli stessi fatti sui quali saranno esaminati.;il giudice non ritiene accettabili le conclusioni del perito o del consulente tecnico.;il pubblico ministero e il difensore dell'imputato o di altra parte privata non concordino sull'ammissione di una prova documentale.
202;L'esperimento giudiziale, previsto dal c.p.p., può essere disposto:;se occorre verificare le dinamiche di un fatto rilevante a fini di prova.;se si versi in tema di indagine scientifica, tecnica e artistica, e sempre con l'ausilio di un esperto.;se il perito o il consulente tecnico ne fanno richiesta, e sempre che il giudice li consideri assolutamente necessario.;se si procede con giudizio direttissimo e il pubblico ministero non abbia disposto precedenti accertamenti tecnici.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
203;Le prove non disciplinate dalla legge, secondo le previsioni del c.p.p.:;sono ammesse, a condizione che siano idonee ad assicurare l'accertamento dei fatti e non pregiudichino la libertà morale della persona.;sono vietate.;possono essere ammesse dal giudice qualora le parti siano decadute dal diritto di chiedere l'ammissione delle prove c.d. tipiche e risultino assolutamente necessarie.;sono ammesse solo nel corso dell'incidente probatorio.
204;Gli indizi possono provare l'esistenza di un fatto di reato, agli effetti delle disposizioni del c.p.p.:;esclusivamente nel caso in cui siano gravi, precisi e concordanti.;sempre, essendo acquisiti in dibattimento.;solo se non contestati.;esclusivamente se siano molteplici ed analoghi a quelli indicati in massime giurisprudenziali.
205;Ai sensi dell'art. 199 c.p.p., i prossimi congiunti dell'imputato hanno obbligo di deporre:;quando hanno presentato denuncia, querela o istanza ovvero essi o un loro prossimo congiunto sono offesi dal reato.;sempre.;quando vengono citati come testimoni dal P.M. ma non in caso di citazione da parte della P.O.;quando la loro deposizione risulti indispensabile ai fini della definizione del giudizio.
206;A norma dell'art. 655 c.p.p., ha il compito di curare d'ufficio l'esecuzione dei provvedimenti del giudice presso il quale opera:;il pubblico ministero.;il giudice onorario all'uopo designato.;il presidente di cancelleria.;la segreteria della cancelleria.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
207;La polizia giudiziaria, secondo quanto stabilito dal c.p.p., può porre domande all'indagato senza la presenza del difensore?;Soltanto ufficiali di polizia possono rivolgere domande all'indagato, libero o arrestato, anche in assenza del difensore, purché sul luogo o nell'immediatezza del fatto di reato.;No, ad eccezione del caso in cui il difensore non è stato reperito o non è comparso.;Si, in ogni momento ed in ogni luogo.;No, in nessun caso.
